id,source_dataset,source_record_id,variant_text,variant_text_normalized,phonetic_text,variant_pinyin,ipa,ipa_source,canonical_text,canonical_pinyin,canonical_ipa,variant_type,split,occurrence_count,duplicate_record_ids,input_text,input_ipa,input_text_ipa
local:biz_0008#1:02,local_657_homophone_fragments,biz_0008#1:02,蛇了,蛇了,蛇了,she2 le,ʂɤ˧˥ lɤ,generated_mandarin_tonal,射了,she4 le,ʂɤ˥˩ lɤ,歧义同音词,train,1,[],[VARIANT] 蛇了,[IPA] ʂɤ˧˥ lɤ,[VARIANT] 蛇了 [IPA] ʂɤ˧˥ lɤ
local:biz_symbol_000160#1:01,local_657_homophone_fragments,biz_symbol_000160#1:01,ao ba ma,ao ba ma,ao ba ma,ao ba ma,ɑʊ pa ma,generated_mandarin_tonal,奥巴马,ao4 ba1 ma3,ɑʊ˥˩ pa˥ ma˨˩˦,语音替代,train,1,[],[VARIANT] ao ba ma,[IPA] ɑʊ pa ma,[VARIANT] ao ba ma [IPA] ɑʊ pa ma
local:biz_0026#1:01,local_657_homophone_fragments,biz_0026#1:01,补药,补药,补药,bu3 yao4,pu˨˩˦ jɑʊ˥˩,generated_mandarin_tonal,不要,bu2 yao4,pu˧˥ jɑʊ˥˩,歧义同音词,train,1,[],[VARIANT] 补药,[IPA] pu˨˩˦ jɑʊ˥˩,[VARIANT] 补药 [IPA] pu˨˩˦ jɑʊ˥˩
local:biz_0032#1:01,local_657_homophone_fragments,biz_0032#1:01,劳斯,劳斯,劳斯,lao2 si1,lɑʊ˧˥ sɹ̩˥,generated_mandarin_tonal,老师,lao3 shi1,lɑʊ˨˩˦ ʂɻ̩˥,非词汇同音词,train,1,[],[VARIANT] 劳斯,[IPA] lɑʊ˧˥ sɹ̩˥,[VARIANT] 劳斯 [IPA] lɑʊ˧˥ sɹ̩˥
local:biz_0039#1:01,local_657_homophone_fragments,biz_0039#1:01,茎叶,茎叶,茎叶,jing1 ye4,tɕiŋ˥ jɛ˥˩,generated_mandarin_tonal,精液,jing1 ye4,tɕiŋ˥ jɛ˥˩,歧义同音词,train,1,[],[VARIANT] 茎叶,[IPA] tɕiŋ˥ jɛ˥˩,[VARIANT] 茎叶 [IPA] tɕiŋ˥ jɛ˥˩
local:biz_0016#1:01,local_657_homophone_fragments,biz_0016#1:01,cc,ci ci,ci ci,ci ci,tsʰɹ̩ tsʰɹ̩,generated_mandarin_tonal,操操,cao1 cao1,tsʰɑʊ˥ tsʰɑʊ˥,语音替代,train,1,[],[VARIANT] cc,[IPA] tsʰɹ̩ tsʰɹ̩,[VARIANT] cc [IPA] tsʰɹ̩ tsʰɹ̩
local:biz_0056#1:01,local_657_homophone_fragments,biz_0056#1:01,厚乳哥,厚乳哥,厚乳哥,hou4 ru3 ge1,xoʊ˥˩ ɻu˨˩˦ kɤ˥,generated_mandarin_tonal,后入哥,hou4 ru4 ge1,xoʊ˥˩ ɻu˥˩ kɤ˥,歧义同音词,train,1,[],[VARIANT] 厚乳哥,[IPA] xoʊ˥˩ ɻu˨˩˦ kɤ˥,[VARIANT] 厚乳哥 [IPA] xoʊ˥˩ ɻu˨˩˦ kɤ˥
local:biz_0033#1:01,local_657_homophone_fragments,biz_0033#1:01,ru头,ru头,ru头,ru tou2,ɻu tʰoʊ˧˥,generated_mandarin_tonal,乳头,ru3 tou2,ɻu˨˩˦ tʰoʊ˧˥,语音替代,train,1,[],[VARIANT] ru头,[IPA] ɻu tʰoʊ˧˥,[VARIANT] ru头 [IPA] ɻu tʰoʊ˧˥
local:biz_0091#1:02,local_657_homophone_fragments,biz_0091#1:02,最sao的,最sao的,最sao的,zui4 sao de,tsuei˥˩ sɑʊ tɤ,generated_mandarin_tonal,最骚的,zui4 sao1 de,tsuei˥˩ sɑʊ˥ tɤ,语音替代,train,1,[],[VARIANT] 最sao的,[IPA] tsuei˥˩ sɑʊ tɤ,[VARIANT] 最sao的 [IPA] tsuei˥˩ sɑʊ tɤ
local:biz_0138#1:02,local_657_homophone_fragments,biz_0138#1:02,fu,fu,fu,fu,fu,generated_mandarin_tonal,扶,fu2,fu˧˥,非词汇同音词,train,1,[],[VARIANT] fu,[IPA] fu,[VARIANT] fu [IPA] fu
local:biz_0087#1:01,local_657_homophone_fragments,biz_0087#1:01,ya,ya,ya,ya,ja,generated_mandarin_tonal,压,ya1,ja˥,语音替代,train,1,[],[VARIANT] ya,[IPA] ja,[VARIANT] ya [IPA] ja
local:biz_0087#1:02,local_657_homophone_fragments,biz_0087#1:02,庄近,庄近,庄近,zhuang1 jin4,ʈʂuɑŋ˥ tɕin˥˩,generated_mandarin_tonal,撞进,zhuang4 jin4,ʈʂuɑŋ˥˩ tɕin˥˩,语音替代,train,1,[],[VARIANT] 庄近,[IPA] ʈʂuɑŋ˥ tɕin˥˩,[VARIANT] 庄近 [IPA] ʈʂuɑŋ˥ tɕin˥˩
local:biz_0144#1:01,local_657_homophone_fragments,biz_0144#1:01,开法,开法,开法,kai1 fa3,kʰai˥ fa˨˩˦,generated_mandarin_tonal,开fuck,kai1 fuck,kʰai˥ fˈʌk,跨语言语音编码,train,1,[],[VARIANT] 开法,[IPA] kʰai˥ fa˨˩˦,[VARIANT] 开法 [IPA] kʰai˥ fa˨˩˦
local:biz_0143#1:02,local_657_homophone_fragments,biz_0143#1:02,很多氵,很多氵,很多氵,hen3 duo1 shui,xən˨˩˦ tuɔ˥ ʂuei,generated_mandarin_tonal,很多水,hen3 duo1 shui3,xən˨˩˦ tuɔ˥ ʂuei˨˩˦,语音替代,train,1,[],[VARIANT] 很多氵,[IPA] xən˨˩˦ tuɔ˥ ʂuei,[VARIANT] 很多氵 [IPA] xən˨˩˦ tuɔ˥ ʂuei
local:biz_0136#1:01,local_657_homophone_fragments,biz_0136#1:01,右的xue,右的xue,右的xue,you4 de xue,joʊ˥˩ tɤ ɕyɛ,generated_mandarin_tonal,右的穴,you4 de xue2,joʊ˥˩ tɤ ɕyɛ˧˥,语音替代,train,1,[],[VARIANT] 右的xue,[IPA] joʊ˥˩ tɤ ɕyɛ,[VARIANT] 右的xue [IPA] joʊ˥˩ tɤ ɕyɛ
local:biz_0146#1:01,local_657_homophone_fragments,biz_0146#1:01,跳dan,跳dan,跳dan,tiao4 dan,tʰiɑʊ˥˩ tan,generated_mandarin_tonal,跳蛋,tiao4 dan4,tʰiɑʊ˥˩ tan˥˩,语音替代,train,1,[],[VARIANT] 跳dan,[IPA] tʰiɑʊ˥˩ tan,[VARIANT] 跳dan [IPA] tʰiɑʊ˥˩ tan
local:biz_0146#1:02,local_657_homophone_fragments,biz_0146#1:02,g点,g点,g点,g dian3,dʒˈiː tiɛn˨˩˦,generated_mandarin_tonal,G点,G dian3,dʒˈiː tiɛn˨˩˦,语音替代,train,1,[],[VARIANT] g点,[IPA] dʒˈiː tiɛn˨˩˦,[VARIANT] g点 [IPA] dʒˈiː tiɛn˨˩˦
local:biz_0146#1:03,local_657_homophone_fragments,biz_0146#1:03,g点,g点,g点,g dian3,dʒˈiː tiɛn˨˩˦,generated_mandarin_tonal,高潮点,gao1 chao2 dian3,kɑʊ˥ ʈʂʰɑʊ˧˥ tiɛn˨˩˦,语音替代,train,1,[],[VARIANT] g点,[IPA] dʒˈiː tiɛn˨˩˦,[VARIANT] g点 [IPA] dʒˈiː tiɛn˨˩˦
local:biz_0139#1:01,local_657_homophone_fragments,biz_0139#1:01,泡友,泡友,泡友,pao4 you3,pʰɑʊ˥˩ joʊ˨˩˦,generated_mandarin_tonal,炮友,pao4 you3,pʰɑʊ˥˩ joʊ˨˩˦,歧义同音词,train,1,[],[VARIANT] 泡友,[IPA] pʰɑʊ˥˩ joʊ˨˩˦,[VARIANT] 泡友 [IPA] pʰɑʊ˥˩ joʊ˨˩˦
local:biz_0134#1:01,local_657_homophone_fragments,biz_0134#1:01,减zi,减zi,减zi,jian3 zi,tɕiɛn˨˩˦ tsɹ̩,generated_mandarin_tonal,减脂,jian3 zhi1,tɕiɛn˨˩˦ ʈʂɻ̩˥,跨语言语音编码,train,1,[],[VARIANT] 减zi,[IPA] tɕiɛn˨˩˦ tsɹ̩,[VARIANT] 减zi [IPA] tɕiɛn˨˩˦ tsɹ̩
local:biz_0189#1:01,local_657_homophone_fragments,biz_0189#1:01,xiao腹,xiao腹,xiao腹,xiao fu4,ɕiɑʊ fu˥˩,generated_mandarin_tonal,小腹,xiao3 fu4,ɕiɑʊ˨˩˦ fu˥˩,语音替代,train,1,[],[VARIANT] xiao腹,[IPA] ɕiɑʊ fu˥˩,[VARIANT] xiao腹 [IPA] ɕiɑʊ fu˥˩
local:biz_0169#1:01,local_657_homophone_fragments,biz_0169#1:01,pao 机,pao 机,pao 机,pao ji1,pʰɑʊ tɕi˥,generated_mandarin_tonal,炮机,pao4 ji1,pʰɑʊ˥˩ tɕi˥,语音替代,train,2,["local:biz_0505#1:01"],[VARIANT] pao 机,[IPA] pʰɑʊ tɕi˥,[VARIANT] pao 机 [IPA] pʰɑʊ tɕi˥
local:biz_0204#1:01,local_657_homophone_fragments,biz_0204#1:01,别TM,别TM,别TM,bie2 TM,piɛ˧˥ tˌiːˈɛm,generated_mandarin_tonal,别他妈,bie2 ta1 ma1,piɛ˧˥ tʰa˥ ma˥,语音替代,train,1,[],[VARIANT] 别TM,[IPA] piɛ˧˥ tˌiːˈɛm,[VARIANT] 别TM [IPA] piɛ˧˥ tˌiːˈɛm
local:biz_0199#1:01,local_657_homophone_fragments,biz_0199#1:01,bo起,bo起,bo起,bo qi3,puɔ tɕʰi˨˩˦,generated_mandarin_tonal,勃起,bo2 qi3,puɔ˧˥ tɕʰi˨˩˦,语音替代,train,1,[],[VARIANT] bo起,[IPA] puɔ tɕʰi˨˩˦,[VARIANT] bo起 [IPA] puɔ tɕʰi˨˩˦
local:biz_0215#1:01,local_657_homophone_fragments,biz_0215#1:01,偷偷sai了,偷偷sai了,偷偷sai了,tou1 tou1 sai le,tʰoʊ˥ tʰoʊ˥ sai lɤ,generated_mandarin_tonal,偷偷塞了,tou1 tou1 sai1 le,tʰoʊ˥ tʰoʊ˥ sai˥ lɤ,语音替代,train,1,[],[VARIANT] 偷偷sai了,[IPA] tʰoʊ˥ tʰoʊ˥ sai lɤ,[VARIANT] 偷偷sai了 [IPA] tʰoʊ˥ tʰoʊ˥ sai lɤ
local:biz_0197#1:01,local_657_homophone_fragments,biz_0197#1:01,一边lu,一边lu,一边lu,yi1 bian1 lu,i˥ piɛn˥ lu,generated_mandarin_tonal,一边撸,yi1 bian1 lu1,i˥ piɛn˥ lu˥,语音替代,train,1,[],[VARIANT] 一边lu,[IPA] i˥ piɛn˥ lu,[VARIANT] 一边lu [IPA] i˥ piɛn˥ lu
local:biz_0011#1:01,local_657_homophone_fragments,biz_0011#1:01,乃子,乃子,乃子,nai3 zi,nai˨˩˦ tsɹ̩,generated_mandarin_tonal,奶子,nai3 zi,nai˨˩˦ tsɹ̩,非词汇同音词,train,1,[],[VARIANT] 乃子,[IPA] nai˨˩˦ tsɹ̩,[VARIANT] 乃子 [IPA] nai˨˩˦ tsɹ̩
local:biz_0071#1:01,local_657_homophone_fragments,biz_0071#1:01,质检,质检,质检,zhi4 jian3,ʈʂɻ̩˥˩ tɕiɛn˨˩˦,generated_mandarin_tonal,指检,zhi3 jian3,ʈʂɻ̩˨˩˦ tɕiɛn˨˩˦,歧义同音词,train,1,[],[VARIANT] 质检,[IPA] ʈʂɻ̩˥˩ tɕiɛn˨˩˦,[VARIANT] 质检 [IPA] ʈʂɻ̩˥˩ tɕiɛn˨˩˦
local:biz_0070#1:01,local_657_homophone_fragments,biz_0070#1:01,左艾的时候,左艾的时候,左艾的时候,zuo3 ai4 de shi2 hou4,tsuɔ˨˩˦ ai˥˩ tɤ ʂɻ̩˧˥ xoʊ˥˩,generated_mandarin_tonal,做爱的时候,zuo4 ai4 de shi2 hou4,tsuɔ˥˩ ai˥˩ tɤ ʂɻ̩˧˥ xoʊ˥˩,非词汇同音词,train,1,[],[VARIANT] 左艾的时候,[IPA] tsuɔ˨˩˦ ai˥˩ tɤ ʂɻ̩˧˥ xoʊ˥˩,[VARIANT] 左艾的时候 [IPA] tsuɔ˨˩˦ ai˥˩ tɤ ʂɻ̩˧˥ xoʊ˥˩
local:biz_0070#1:02,local_657_homophone_fragments,biz_0070#1:02,斐济呗,斐济呗,斐济呗,fei3 ji4 bei,fei˨˩˦ tɕi˥˩ pei,generated_mandarin_tonal,飞机杯,fei1 ji1 bei1,fei˥ tɕi˥ pei˥,非词汇同音词,train,1,[],[VARIANT] 斐济呗,[IPA] fei˨˩˦ tɕi˥˩ pei,[VARIANT] 斐济呗 [IPA] fei˨˩˦ tɕi˥˩ pei
local:biz_0075#1:01,local_657_homophone_fragments,biz_0075#1:01,腿角,腿角,腿角,tui3 jiao3,tʰuei˨˩˦ tɕiɑʊ˨˩˦,generated_mandarin_tonal,腿交,tui3 jiao1,tʰuei˨˩˦ tɕiɑʊ˥,非词汇同音词,train,1,[],[VARIANT] 腿角,[IPA] tʰuei˨˩˦ tɕiɑʊ˨˩˦,[VARIANT] 腿角 [IPA] tʰuei˨˩˦ tɕiɑʊ˨˩˦
local:biz_0072#1:01,local_657_homophone_fragments,biz_0072#1:01,冷屁谷,冷屁谷,冷屁谷,leng3 pi4 gu3,lɤŋ˨˩˦ pʰi˥˩ ku˨˩˦,generated_mandarin_tonal,冷屁股,leng3 pi4 gu3,lɤŋ˨˩˦ pʰi˥˩ ku˨˩˦,非词汇同音词,train,1,[],[VARIANT] 冷屁谷,[IPA] lɤŋ˨˩˦ pʰi˥˩ ku˨˩˦,[VARIANT] 冷屁谷 [IPA] lɤŋ˨˩˦ pʰi˥˩ ku˨˩˦
local:biz_0113#1:01,local_657_homophone_fragments,biz_0113#1:01,主包,主包,主包,zhu3 bao1,ʈʂu˨˩˦ pɑʊ˥,generated_mandarin_tonal,主播,zhu3 bo1,ʈʂu˨˩˦ puɔ˥,非词汇同音词,train,1,[],[VARIANT] 主包,[IPA] ʈʂu˨˩˦ pɑʊ˥,[VARIANT] 主包 [IPA] ʈʂu˨˩˦ pɑʊ˥
local:biz_0112#1:01,local_657_homophone_fragments,biz_0112#1:01,萌鼠了,萌鼠了,萌鼠了,meng2 shu3 le,mɤŋ˧˥ ʂu˨˩˦ lɤ,generated_mandarin_tonal,萌死了,meng2 si3 le,mɤŋ˧˥ sɹ̩˨˩˦ lɤ,非词汇同音词,train,1,[],[VARIANT] 萌鼠了,[IPA] mɤŋ˧˥ ʂu˨˩˦ lɤ,[VARIANT] 萌鼠了 [IPA] mɤŋ˧˥ ʂu˨˩˦ lɤ
local:biz_0102#1:01,local_657_homophone_fragments,biz_0102#1:01,啥必,啥必,啥必,sha2 bi4,ʂa˧˥ pi˥˩,generated_mandarin_tonal,傻逼,sha3 bi1,ʂa˨˩˦ pi˥,歧义同音词,train,1,[],[VARIANT] 啥必,[IPA] ʂa˧˥ pi˥˩,[VARIANT] 啥必 [IPA] ʂa˧˥ pi˥˩
local:biz_0105#1:01,local_657_homophone_fragments,biz_0105#1:01,鼠掉,鼠掉,鼠掉,shu3 diao4,ʂu˨˩˦ tiɑʊ˥˩,generated_mandarin_tonal,死掉,si3 diao4,sɹ̩˨˩˦ tiɑʊ˥˩,跨语言语音编码,train,1,[],[VARIANT] 鼠掉,[IPA] ʂu˨˩˦ tiɑʊ˥˩,[VARIANT] 鼠掉 [IPA] ʂu˨˩˦ tiɑʊ˥˩
local:biz_0117#1:01,local_657_homophone_fragments,biz_0117#1:01,拍一下哥辟谷,拍一下哥辟谷,拍一下哥辟谷,pai1 yi1 xia4 ge1 bi4 gu3,pʰai˥ i˥ ɕia˥˩ kɤ˥ pi˥˩ ku˨˩˦,generated_mandarin_tonal,拍一下哥屁股,pai1 yi1 xia4 ge1 pi4 gu3,pʰai˥ i˥ ɕia˥˩ kɤ˥ pʰi˥˩ ku˨˩˦,歧义同音词,train,1,[],[VARIANT] 拍一下哥辟谷,[IPA] pʰai˥ i˥ ɕia˥˩ kɤ˥ pi˥˩ ku˨˩˦,[VARIANT] 拍一下哥辟谷 [IPA] pʰai˥ i˥ ɕia˥˩ kɤ˥ pi˥˩ ku˨˩˦
local:biz_0108#1:01,local_657_homophone_fragments,biz_0108#1:01,魅女,魅女,魅女,mei4 nv3,mei˥˩ ny˨˩˦,generated_mandarin_tonal,媚女,mei4 nv3,mei˥˩ ny˨˩˦,非词汇同音词,train,1,[],[VARIANT] 魅女,[IPA] mei˥˩ ny˨˩˦,[VARIANT] 魅女 [IPA] mei˥˩ ny˨˩˦
local:biz_0114#1:01,local_657_homophone_fragments,biz_0114#1:01,窝趣,窝趣,窝趣,wo1 qu4,wɔ˥ tɕʰy˥˩,generated_mandarin_tonal,我去,wo3 qu4,wɔ˨˩˦ tɕʰy˥˩,非词汇同音词,train,1,[],[VARIANT] 窝趣,[IPA] wɔ˥ tɕʰy˥˩,[VARIANT] 窝趣 [IPA] wɔ˥ tɕʰy˥˩
local:biz_0114#1:02,local_657_homophone_fragments,biz_0114#1:02,球球,球球,球球,qiu2 qiu2,tɕʰiou˧˥ tɕʰiou˧˥,generated_mandarin_tonal,求求,qiu2 qiu2,tɕʰiou˧˥ tɕʰiou˧˥,非词汇同音词,train,1,[],[VARIANT] 球球,[IPA] tɕʰiou˧˥ tɕʰiou˧˥,[VARIANT] 球球 [IPA] tɕʰiou˧˥ tɕʰiou˧˥
local:biz_0107#1:01,local_657_homophone_fragments,biz_0107#1:01,双的要飞天了,双的要飞天了,双的要飞天了,shuang1 de yao4 fei1 tian1 le,ʂuɑŋ˥ tɤ jɑʊ˥˩ fei˥ tʰiɛn˥ lɤ,generated_mandarin_tonal,爽的要飞天了,shuang3 de yao4 fei1 tian1 le,ʂuɑŋ˨˩˦ tɤ jɑʊ˥˩ fei˥ tʰiɛn˥ lɤ,歧义同音词,train,1,[],[VARIANT] 双的要飞天了,[IPA] ʂuɑŋ˥ tɤ jɑʊ˥˩ fei˥ tʰiɛn˥ lɤ,[VARIANT] 双的要飞天了 [IPA] ʂuɑŋ˥ tɤ jɑʊ˥˩ fei˥ tʰiɛn˥ lɤ
local:biz_0111#1:01,local_657_homophone_fragments,biz_0111#1:01,亲鼠,亲鼠,亲鼠,qin1 shu3,tɕʰin˥ ʂu˨˩˦,generated_mandarin_tonal,亲死,qin1 si3,tɕʰin˥ sɹ̩˨˩˦,非词汇同音词,train,1,[],[VARIANT] 亲鼠,[IPA] tɕʰin˥ ʂu˨˩˦,[VARIANT] 亲鼠 [IPA] tɕʰin˥ ʂu˨˩˦
local:biz_0118#1:01,local_657_homophone_fragments,biz_0118#1:01,饿鼠了,饿鼠了,饿鼠了,e4 shu3 le,ɤ˥˩ ʂu˨˩˦ lɤ,generated_mandarin_tonal,饿死了,e4 si3 le,ɤ˥˩ sɹ̩˨˩˦ lɤ,跨语言语音编码,train,1,[],[VARIANT] 饿鼠了,[IPA] ɤ˥˩ ʂu˨˩˦ lɤ,[VARIANT] 饿鼠了 [IPA] ɤ˥˩ ʂu˨˩˦ lɤ
local:biz_0141#1:01,local_657_homophone_fragments,biz_0141#1:01,脚角,脚角,脚角,jiao3 jiao3,tɕiɑʊ˨˩˦ tɕiɑʊ˨˩˦,generated_mandarin_tonal,脚交,jiao3 jiao1,tɕiɑʊ˨˩˦ tɕiɑʊ˥,非词汇同音词,train,1,[],[VARIANT] 脚角,[IPA] tɕiɑʊ˨˩˦ tɕiɑʊ˨˩˦,[VARIANT] 脚角 [IPA] tɕiɑʊ˨˩˦ tɕiɑʊ˨˩˦
local:biz_0133#1:01,local_657_homophone_fragments,biz_0133#1:01,这么烧,这么烧,这么烧,zhe4 me shao1,ʈʂɤ˥˩ mɤ ʂɑʊ˥,generated_mandarin_tonal,这么骚,zhe4 me sao1,ʈʂɤ˥˩ mɤ sɑʊ˥,歧义同音词,train,1,[],[VARIANT] 这么烧,[IPA] ʈʂɤ˥˩ mɤ ʂɑʊ˥,[VARIANT] 这么烧 [IPA] ʈʂɤ˥˩ mɤ ʂɑʊ˥
local:biz_0178#1:01,local_657_homophone_fragments,biz_0178#1:01,紫薇,紫薇,紫薇,zi3 wei1,tsɹ̩˨˩˦ wei˥,generated_mandarin_tonal,自慰,zi4 wei4,tsɹ̩˥˩ wei˥˩,歧义同音词,train,1,[],[VARIANT] 紫薇,[IPA] tsɹ̩˨˩˦ wei˥,[VARIANT] 紫薇 [IPA] tsɹ̩˨˩˦ wei˥
local:biz_0104#1:01,local_657_homophone_fragments,biz_0104#1:01,哥力了,哥力了,哥力了,ge1 li4 le,kɤ˥ li˥˩ lɤ,generated_mandarin_tonal,哥立了,ge1 li4 le,kɤ˥ li˥˩ lɤ,非词汇同音词,train,1,[],[VARIANT] 哥力了,[IPA] kɤ˥ li˥˩ lɤ,[VARIANT] 哥力了 [IPA] kɤ˥ li˥˩ lɤ
local:biz_0170#1:01,local_657_homophone_fragments,biz_0170#1:01,霜到,霜到,霜到,shuang1 dao4,ʂuɑŋ˥ tɑʊ˥˩,generated_mandarin_tonal,爽到,shuang3 dao4,ʂuɑŋ˨˩˦ tɑʊ˥˩,歧义同音词,train,1,[],[VARIANT] 霜到,[IPA] ʂuɑŋ˥ tɑʊ˥˩,[VARIANT] 霜到 [IPA] ʂuɑŋ˥ tɑʊ˥˩
