fragment_id,source_dataset,review_id,variant_fragment_raw,variant_fragment_normalized,phonetic_text,pinyin_reading,canonical_fragment,canonical_phonetic_text,canonical_pinyin_reading,ipa,ipa_candidate,canonical_ipa,canonical_ipa_candidate,needs_manual_review,manual_review_reasons,extraction_method,category,review_categories,official_code_pinyin,official_decode_pinyin,official_code_ipa,official_decode_ipa,original_review,decode_review
codedlang:41:01,Crowd-AI-Lab/CodedLang,41,ㄔ,ㄔ,ㄔ,ㄔ,吃,吃,chi1,,,ʈʂʰɻ̩˥,ʈʂʰɻ̩˥,是,"[{""type"": ""source_unresolved_symbol_or_digit""}]",official_dictionary_casefold,语音替代,phonetic,ch,chi1,tʂʰ,ʈʂʰɻ̩˥,好ㄔ,好吃
codedlang:42:01,Crowd-AI-Lab/CodedLang,42,好ㄘ,好ㄘ,好ㄘ,hao3 ㄘ,好吃,好吃,hao3 chi1,,xɑʊ˨˩˦,xɑʊ˨˩˦ ʈʂʰɻ̩˥,xɑʊ˨˩˦ ʈʂʰɻ̩˥,是,"[{""type"": ""source_unresolved_symbol_or_digit""}]",official_dictionary_casefold,语音替代,phonetic,hao3 c,hao3 chi1,xau̯˧˩˧ tsʰ,xau̯˧˩˧ ʈʂʰɻ̩˥,好ㄘ,好吃
codedlang:43:01,Crowd-AI-Lab/CodedLang,43,好ㄘ,好ㄘ,好ㄘ,hao3 ㄘ,好吃,好吃,hao3 chi1,,xɑʊ˨˩˦,xɑʊ˨˩˦ ʈʂʰɻ̩˥,xɑʊ˨˩˦ ʈʂʰɻ̩˥,是,"[{""type"": ""source_unresolved_symbol_or_digit""}]",official_dictionary_casefold,语音替代,phonetic,hao3 c,hao3 chi1,xau̯˧˩˧ tsʰ,xau̯˧˩˧ ʈʂʰɻ̩˥,不好ㄘ,不好吃
codedlang:44:01,Crowd-AI-Lab/CodedLang,44,特么,特么,特么,te4 me,他妈,他妈,ta1 ma1,tʰɤ˥˩ mɤ,tʰɤ˥˩ mɤ,tʰa˥ ma˥,tʰa˥ ma˥,否,[],official_dictionary_casefold,非词汇同音词,non_lexical_homophone,te4 me,ta1 ma1,tʰɤ˥˩ mɤ,tʰa˥ ma˥,一进门就推销酒，说了不喝还没完没了。完后水跟鱼塘里盛出来的似的，一股鱼腥味，鸡肉干的跟木头似的，连鸡腿都跟特么跟树枝似的，整顿饭最好吃的是餐前上的香蕉干儿，给得还挺多，就是吃到一半的时候，服务员给拿走了，不知道是不是给下一桌了。服务员也是chǒu绝了，估计是老板从进的猪肉里挑的，胖就算了，还丑，丑就算了，还化一个更丑的妆，这也就算了，还一个劲儿地往上凑，吓唬谁呢。最后还强加18%的服务费，最后还有add tips一栏，也是醉了。在迈阿密吃的最烂的一顿饭。知道你们美国跟古巴有仇，也不至于这么糟践人家吧。,一进门就推销酒，说了不喝还没完没了。完后水跟鱼塘里盛出来的似的，一股鱼腥味，鸡肉干的跟木头似的，连鸡腿都跟他妈跟树枝似的，整顿饭最好吃的是餐前上的香蕉干儿，给得还挺多，就是吃到一半的时候，服务员给拿走了，不知道是不是给下一桌了。服务员也是丑绝了，估计是老板从进的猪肉里挑的，胖就算了，还丑，丑就算了，还化一个更丑的妆，这也就算了，还一个劲儿地往上凑，吓唬谁呢。最后还强加1不%的服务费，最后还有add tips一栏，也是醉了。在迈阿密吃的最烂的一顿饭。知道你们美国跟古巴有仇，也不至于这么糟践人家吧。
codedlang:44:02,Crowd-AI-Lab/CodedLang,44,chǒu,chǒu,chǒu,ch ǒ u,丑,丑,chou3,,sˌiːˈeɪtʃ u,ʈʂʰoʊ˨˩˦,ʈʂʰoʊ˨˩˦,是,"[{""type"": ""source_unresolved_symbol_or_digit""}]",official_dictionary_casefold,语音替代,non_lexical_homophone,chǒu,chou3,ʈ͡ʂʰòʊ̯,ʈ͡ʂʰòʊ̯,一进门就推销酒，说了不喝还没完没了。完后水跟鱼塘里盛出来的似的，一股鱼腥味，鸡肉干的跟木头似的，连鸡腿都跟特么跟树枝似的，整顿饭最好吃的是餐前上的香蕉干儿，给得还挺多，就是吃到一半的时候，服务员给拿走了，不知道是不是给下一桌了。服务员也是chǒu绝了，估计是老板从进的猪肉里挑的，胖就算了，还丑，丑就算了，还化一个更丑的妆，这也就算了，还一个劲儿地往上凑，吓唬谁呢。最后还强加18%的服务费，最后还有add tips一栏，也是醉了。在迈阿密吃的最烂的一顿饭。知道你们美国跟古巴有仇，也不至于这么糟践人家吧。,一进门就推销酒，说了不喝还没完没了。完后水跟鱼塘里盛出来的似的，一股鱼腥味，鸡肉干的跟木头似的，连鸡腿都跟他妈跟树枝似的，整顿饭最好吃的是餐前上的香蕉干儿，给得还挺多，就是吃到一半的时候，服务员给拿走了，不知道是不是给下一桌了。服务员也是丑绝了，估计是老板从进的猪肉里挑的，胖就算了，还丑，丑就算了，还化一个更丑的妆，这也就算了，还一个劲儿地往上凑，吓唬谁呢。最后还强加1不%的服务费，最后还有add tips一栏，也是醉了。在迈阿密吃的最烂的一顿饭。知道你们美国跟古巴有仇，也不至于这么糟践人家吧。
codedlang:45:01,Crowd-AI-Lab/CodedLang,45,桑心,桑心,桑心,sang1 xin1,伤心,伤心,shang1 xin1,sɑŋ˥ ɕin˥,sɑŋ˥ ɕin˥,ʂɑŋ˥ ɕin˥,ʂɑŋ˥ ɕin˥,否,[],official_dictionary_casefold,非词汇同音词,non_lexical_homophone,sang1 xin1,shang1 xin1,sa˥ŋ ɕi˥n,ʂa˥ŋ ɕi˥n,牛肉超级嫩 很好吃 就是有点太大块了 生鱼片很实惠16pc才24刀！！ 拉面汤底和溏心蛋很棒！！但是面条煮的太软了… 希望下回面条不会这么软！ cheesecake 没货了 桑心😭 一定！！还会再来！！,牛肉超级嫩 很好吃 就是有点太大块了 生鱼片很实惠1厉害pc才24刀！！ 拉面汤底和溏心蛋很棒！！但是面条煮的太软了… 希望下回面条不会这么软！ cheesecake 没货了 伤心😭 一定！！还会再来！！
codedlang:46:01,Crowd-AI-Lab/CodedLang,46,炒鸡,炒鸡,炒鸡,chao3 ji1,超级,超级,chao1 ji2,ʈʂʰɑʊ˨˩˦ tɕi˥,ʈʂʰɑʊ˨˩˦ tɕi˥,ʈʂʰɑʊ˥ tɕi˧˥,ʈʂʰɑʊ˥ tɕi˧˥,否,[],official_dictionary_casefold,歧义同音词,ambiguous_homophone,chao3 ji1,chao1 ji2,ʈʂʰau̯˧˩˧ tɕi˥,ʈʂʰau̯˥ tɕi˧˥,价格很实惠！！ 前台小姐姐态度很好！！！ 店里推荐的果汁儿也很好喝 不给你加冰满满一杯！！要冰块的话 店里有机子可以自己去拿！ New orleans donut 炒鸡好吃！！！！！强烈推荐！以后有机会还要来！！,价格很实惠！！ 前台小姐姐态度很好！！！ 店里推荐的果汁儿也很好喝 不给你加冰满满一杯！！要冰块的话 店里有机子可以自己去拿！ New orleans donut 超级好吃！！！！！强烈推荐！以后有机会还要来！！
codedlang:47:01,Crowd-AI-Lab/CodedLang,47,盆友,盆友,盆友,pen2 you3,朋友,朋友,peng2 you3,pʰən˧˥ joʊ˨˩˦,pʰən˧˥ joʊ˨˩˦,pʰɤŋ˧˥ joʊ˨˩˦,pʰɤŋ˧˥ joʊ˨˩˦,否,[],official_dictionary_casefold,非词汇同音词,non_lexical_homophone,pen2 you3,peng2 you3,pʰə˧˥n jou̯˧˩˧,pʰə˧˥ŋ jou̯˧˩˧,这家餐厅真的很不错 我和盆友点了必点的龙虾和雪蟹 很新鲜 超好吃.  龙虾做的真的很好！！！,这家餐厅真的很不错 我和朋友点了必点的龙虾和雪蟹 很新鲜 超好吃.  龙虾做的真的很好！！！
codedlang:48:01,Crowd-AI-Lab/CodedLang,48,辣鸡,辣鸡,辣鸡,la4 ji1,垃圾,垃圾,la1 ji1,la˥˩ tɕi˥,la˥˩ tɕi˥,la˥ tɕi˥,la˥ tɕi˥,否,[],official_dictionary_casefold,歧义同音词,ambiguous_homophone,la4 ji1,la1 ji1,la˥˩ tɕi˥,la˥ tɕi˥,辣鸡 设备坏了 也不给个明确的恢复时间 全在那等着,垃圾 设备坏了 也不给个明确的恢复时间 全在那等着
codedlang:49:01,Crowd-AI-Lab/CodedLang,49,炒鸡,炒鸡,炒鸡,chao3 ji1,超级,超级,chao1 ji2,ʈʂʰɑʊ˨˩˦ tɕi˥,ʈʂʰɑʊ˨˩˦ tɕi˥,ʈʂʰɑʊ˥ tɕi˧˥,ʈʂʰɑʊ˥ tɕi˧˥,否,[],official_dictionary_casefold,歧义同音词,ambiguous_homophone,chao3 ji1,chao1 ji2,ʈʂʰau̯˧˩˧ tɕi˥,ʈʂʰau̯˥ tɕi˧˥,如果是lunch special 的话吃生鱼片实惠很多 生鱼片是新鲜的 JB Roll 一整条鳗鱼在上面 炒鸡实在 味道和外观都好 有一道是韭菜苗炒鱿鱼也很推荐 miso eggplant 因人而异 炒饭没看上去那么好吃（无图） 有一个是草莓芒果卷 里面有薄荷 吃进去像是牙膏味儿…颜值适合用来拍照 并不好吃… 汤面很一般 并不推荐,如果是lunch special 的话吃生鱼片实惠很多 生鱼片是新鲜的 鸡巴 Roll 一整条鳗鱼在上面 超级实在 味道和外观都好 有一道是韭菜苗炒鱿鱼也很推荐 miso eggplant 因人而异 炒饭没看上去那么好吃（无图） 有一个是草莓芒果卷 里面有薄荷 吃进去像是牙膏味儿…颜值适合用来拍照 并不好吃… 汤面很一般 并不推荐
codedlang:50:01,Crowd-AI-Lab/CodedLang,50,尼玛,尼玛,尼玛,ni2 ma3,你妈,你妈,ni3 ma1,ni˧˥ ma˨˩˦,ni˧˥ ma˨˩˦,ni˨˩˦ ma˥,ni˨˩˦ ma˥,否,[],official_dictionary_casefold,非词汇同音词,non_lexical_homophone,ni2 ma3,ni3 ma1,ni˧˥ ma˧˩˧,ni˧˩˧ ma˥,我在这里住了四天。遇到了很多奇怪的事。比如厕所里面莫名其妙的出现一股臭味，迷漫着整个洗手间；做过卫生的房间里没有添一次性的水杯和装冰的塑料袋；被子上有一些长长的头发没有清理掉；最可恶的是第一天因为没有零钱，而且也是赶着出门没有放小费，结果晚上回来的时候微波炉就“坏”了！检查了一下才发现是微波炉的插座叫人给拔了。去询问前台，大堂经理把责任推给客房服务部，还说是因为要给微波炉加垫子保护家具所以拔了插座然后可能忘记插了。我其实是愿意相信大堂经理的，因为她的态度很好。但是，让我没法忍受的是出门的时候刚巧遇上客服服务人员在做卫生。那个推着大车的服务员看到我就一直盯着，在我经过她身边的时候忽然问我“你是不是XXX房间的？”我说是，她就问我“今天房间要不要清理？如果不要就在这里签字。”我还没说话，一张什么纸就伸到了我面前让我签。尼玛！我一看这不对啊！住过这么多次这家公司的宾馆也没遇到过这种“特别”照顾的呀！我说“不用，我房门上挂了牌子”没签，我转身走了。这些都是我的亲身经历。如果你不想因为这些琐事影响你的旅途，你知道该怎么做。对了。这家店大堂有个旅游介绍的窗口，那里有时候会给你一个很好的折扣，比如你要去迪士尼，环球影城，水上乐园，海洋世界。OK给你一个优惠！这个优惠就是你回去怎么算都觉得优惠的优惠！但是，重点来了。你的夫妻收入要达到7W以上。为什么呢？因为这个优惠不是白给你的，你要去参加一个小的“导购团”：）当然她不会告诉你是导购。她会告诉你是一个介绍的团，目的是让你喜欢这里，让你再来！好想不错是吧。告诉你：是导购卖度假村房子使用权的。大概价格是40W+1500/year的终身会员。在此基础上你一年可以在他们集团的度假村酒店住2周。是不是很好。但是注意，这里是没有时间限制的，你要不买就说不买，你不说就别想走。我耽误了3个小时。好了就是各种不好。你要是还想住那是你的事了。,我在这里住了四天。遇到了很多奇怪的事。比如厕所里面莫名其妙的出现一股臭味，迷漫着整个洗手间；做过卫生的房间里没有添一吃性的水杯和装冰的塑料袋；被子上有一些长长的头发没有清理掉；最可恶的是第一天因为没有零钱，而且也是赶着出门没有放小费，结果晚上回来的时候微波炉就“坏”了！检查了一下才发现是微波炉的插座叫人给拔了。去询问前台，大堂经理把责任推给客房服务部，还说是因为要给微波炉加垫子保护家具所以拔了插座然后可能忘记插了。我其实是愿意相信大堂经理的，因为她的态度很好。但是，让我没法忍受的是出门的时候刚巧遇上客服服务人员在做卫生。那个推着大车的服务员看到我就一直盯着，在我经过她身边的时候忽然问我“你是不是叉叉叉房间的？”我说是，她就问我“今天房间要不要清理？如果不要就在这里签字。”我还没说话，一张什么纸就伸到了我面前让我签。你妈！我一看这不对啊！住过这么多吃这家公司的宾馆也没遇到过这种“特别”照顾的呀！我说“不用，我房门上挂了牌子”没签，我转身走了。这些都是我的亲身经历。如果你不想因为这些琐事影响你的旅途，你知道该怎么做。对了。这家店大堂有个旅游介绍的窗口，那里有时候会给你一个很好的折扣，比如你要去迪士尼，环球影城，水上乐园，海洋世界。OK给你一个优惠！这个优惠就是你回去怎么算都觉得优惠的优惠！但是，重点来了。你的夫妻收入要达到7W以上。为什么呢？因为这个优惠不是白给你的，你要去参加一个小的“导购团”：）当然她不会告诉你是导购。她会告诉你是一个介绍的团，目的是让你喜欢这里，让你再来！好想不错是吧。告诉你：是导购卖度假村房子使用权的。大概价格是40W+1500/year的终身会员。在此基础上你一年可以在他们集团的度假村酒店住2周。是不是很好。但是注意，这里是没有时间限制的，你要不买就说不买，你不说就别想走。我耽误了3个小时。好了就是各种不好。你要是还想住那是你的事了。
codedlang:51:01,Crowd-AI-Lab/CodedLang,51,灰常,灰常,灰常,hui1 chang2,非常,非常,fei1 chang2,xuei˥ ʈʂʰɑŋ˧˥,xuei˥ ʈʂʰɑŋ˧˥,fei˥ ʈʂʰɑŋ˧˥,fei˥ ʈʂʰɑŋ˧˥,否,[],official_dictionary_casefold,非词汇同音词,non_lexical_homophone,hui1 chang2,fei1 chang2,xwei̯˥ ʈʂʰa˧˥ŋ,fei̯˥ ʈʂʰa˧˥ŋ,味道超好，sashimi 特别新鲜，猪肉拉面灰常正宗，天妇罗虾最好吃，酥脆口齿留香！羊腿非常入味，一点也不腥！miso 鳕鱼也很好吃，Q弹鲜美值得一试！奥兰多前五的日餐，已经来了十来次咯,味道超好，sa屎mi 特别新鲜，猪肉拉面非常正宗，天妇罗虾最好吃，酥脆口齿留香！羊腿非常入味，一点也不腥！miso 鳕鱼也很好吃，Q弹鲜美值得一试！奥兰多前五的日餐，已经来了十来吃咯
codedlang:52:01,Crowd-AI-Lab/CodedLang,52,炒鸡,炒鸡,炒鸡,chao3 ji1,超级,超级,chao1 ji2,ʈʂʰɑʊ˨˩˦ tɕi˥,ʈʂʰɑʊ˨˩˦ tɕi˥,ʈʂʰɑʊ˥ tɕi˧˥,ʈʂʰɑʊ˥ tɕi˧˥,否,[],official_dictionary_casefold,歧义同音词,ambiguous_homophone,chao3 ji1,chao1 ji2,ʈʂʰau̯˧˩˧ tɕi˥,ʈʂʰau̯˥ tɕi˧˥,强烈推荐！服务太好了，味道也好吃，价格不贵，还有ladym！！！！悄悄告诉你们，里面的拉面也炒鸡完美！,强烈推荐！服务太好了，味道也好吃，价格不贵，还有ladym！！！！悄悄告诉你们，里面的拉面也超级完美！
codedlang:53:01,Crowd-AI-Lab/CodedLang,53,墙裂,墙裂,墙裂,qiang2 lie4,强烈,强烈,qiang2 lie4,tɕʰiɑŋ˧˥ liɛ˥˩,tɕʰiɑŋ˧˥ liɛ˥˩,tɕʰiɑŋ˧˥ liɛ˥˩,tɕʰiɑŋ˧˥ liɛ˥˩,否,[],official_dictionary_casefold,歧义同音词,ambiguous_homophone,qiang2 lie4,qiang2 lie4,tɕʰja˧˥ŋ lje˥˩,tɕʰja˧˥ŋ lje˥˩,超级好吃！！！！！！墙裂推荐，还有lady  M的抹茶千层，芝加哥也还有一家 但是每次排队都要排很久，这家我们提前订了，直接去就吃了。,超级好吃！！！！！！强烈推荐，还有lady  M的抹茶千层，芝加哥也还有一家 但是每吃排队都要排很久，这家我们提前订了，直接去就吃了。
codedlang:54:01,Crowd-AI-Lab/CodedLang,54,尼玛,尼玛,尼玛,ni2 ma3,你妈,你妈,ni3 ma1,ni˧˥ ma˨˩˦,ni˧˥ ma˨˩˦,ni˨˩˦ ma˥,ni˨˩˦ ma˥,否,[],official_dictionary_casefold,非词汇同音词,non_lexical_homophone,ni2 ma3,ni3 ma1,ni˧˥ ma˧˩˧,ni˧˩˧ ma˥,尼玛都是装逼的，老子来写中文！东方超市就是好！！！操！！！,你妈都是装逼的，老子来写中文！东方超市就是好！！！操！！！
codedlang:55:01,Crowd-AI-Lab/CodedLang,55,特么,特么,特么,te4 me,他妈,他妈,ta1 ma1,tʰɤ˥˩ mɤ,tʰɤ˥˩ mɤ,tʰa˥ ma˥,tʰa˥ ma˥,否,[],official_dictionary_casefold,非词汇同音词,non_lexical_homophone,te4 me,ta1 ma1,tʰɤ˥˩ mɤ,tʰa˥ ma˥,太特么傻逼 谁特么来谁傻逼,太他妈傻逼 谁他妈来谁傻逼
codedlang:56:01,Crowd-AI-Lab/CodedLang,56,辣鸡,辣鸡,辣鸡,la4 ji1,垃圾,垃圾,la1 ji1,la˥˩ tɕi˥,la˥˩ tɕi˥,la˥ tɕi˥,la˥ tɕi˥,否,[],official_dictionary_casefold,歧义同音词,ambiguous_homophone,la4 ji1,la1 ji1,la˥˩ tɕi˥,la˥ tɕi˥,从中国到美国吃过最差的一家餐厅！气到一定要发差评！点菜的时候老板娘很奇怪非要我们点红烧肉，还说我们点的辣子鸡不好吃。上菜的时候极其慢！旁边有一桌一直在等一个菜，我们吃完了她们都没有等到。服务员态度也是爱搭不理。筷子都要自己取。菜更差！！水煮牛肉一股酸味，牛肉本身也不新鲜，麻婆豆腐也带酸味，味道与真正的川菜相差甚远，真的对不起招牌上的川字！账单里面自带15%小费，真的太不要碧莲了，配吗还十五的小费？菜价巨贵、管理巨差、服务气人、味道辣鸡！全都坑的是流水客！抱拳拱手愿诸位：千万别去！！！Read the reviews first and never go there！！,从中国到美国吃过最差的一家餐厅！气到一定要发差评！点菜的时候老板娘很奇怪非要我们点红烧肉，还说我们点的啦子鸡不好吃。上菜的时候极其慢！旁边有一桌一直在等一个菜，我们吃完了她们都没有等到。服务员态度也是爱搭不理。筷子都要自己取。菜更差！！水煮牛肉一股酸味，牛肉本身也不新鲜，麻婆豆腐也带酸味，味道与真正的川菜相差甚远，真的对不起招牌上的川字！账单里面自带15%小费，真的太不要碧莲了，配吗还十五的小费？菜价巨贵、管理巨差、服务气人、味道垃圾！全都坑的是流水客！抱拳拱手愿诸位：千万别去！！！Read the reviews first and never go there！！
codedlang:57:01,Crowd-AI-Lab/CodedLang,57,尼玛,尼玛,尼玛,ni2 ma3,你妈,你妈,ni3 ma1,ni˧˥ ma˨˩˦,ni˧˥ ma˨˩˦,ni˨˩˦ ma˥,ni˨˩˦ ma˥,否,[],official_dictionary_casefold,非词汇同音词,non_lexical_homophone,ni2 ma3,ni3 ma1,ni˧˥ ma˧˩˧,ni˧˩˧ ma˥,卡罗拉啤酒卖6.5！太尼玛黑了,卡罗拉啤酒卖厉害.5！太你妈黑了
codedlang:58:01,Crowd-AI-Lab/CodedLang,58,盆友,盆友,盆友,pen2 you3,朋友,朋友,peng2 you3,pʰən˧˥ joʊ˨˩˦,pʰən˧˥ joʊ˨˩˦,pʰɤŋ˧˥ joʊ˨˩˦,pʰɤŋ˧˥ joʊ˨˩˦,否,[],official_dictionary_casefold,非词汇同音词,non_lexical_homophone,pen2 you3,peng2 you3,pʰə˧˥n jou̯˧˩˧,pʰə˧˥ŋ jou̯˧˩˧,没啥可看的啊 只有海胆 还有几种小鱼  $55不值 不如带着小盆友去隔壁的old airport recreation area park 去Walmart 买上小桶crab 笼子 小鱼网 不亦乐乎,没啥可看的啊 只有海胆 还有几种小鱼  $55不值 不如带着小朋友去隔壁的old airport recreation area park 去Walmart 买上小桶cra逼 笼子 小鱼网 不亦乐乎
codedlang:59:01,Crowd-AI-Lab/CodedLang,59,炒鸡,炒鸡,炒鸡,chao3 ji1,超级,超级,chao1 ji2,ʈʂʰɑʊ˨˩˦ tɕi˥,ʈʂʰɑʊ˨˩˦ tɕi˥,ʈʂʰɑʊ˥ tɕi˧˥,ʈʂʰɑʊ˥ tɕi˧˥,否,[],official_dictionary_casefold,歧义同音词,ambiguous_homophone,chao3 ji1,chao1 ji2,ʈʂʰau̯˧˩˧ tɕi˥,ʈʂʰau̯˥ tɕi˧˥,Badddddd. 炒鸡垃圾。。。和本土不能比,Badddddd. 超级垃圾。。。和本土不能比
