fragment_id,source_dataset,review_id,variant_fragment_raw,variant_fragment_normalized,phonetic_text,pinyin_reading,canonical_fragment,canonical_phonetic_text,canonical_pinyin_reading,ipa,ipa_candidate,canonical_ipa,canonical_ipa_candidate,needs_manual_review,manual_review_reasons,extraction_method,category,review_categories,official_code_pinyin,official_decode_pinyin,official_code_ipa,official_decode_ipa,original_review,decode_review,source_instance_count,source_review_ids,deduplication_key,split
codedlang:60:01,Crowd-AI-Lab/CodedLang,60,tm,tm,tm,tm,他妈,他妈,ta ma,tˌiːˈɛm,tˌiːˈɛm,tʰa ma,tʰa ma,否,[],official_dictionary_casefold,语音替代,"non_lexical_homophone, phonetic",tm,ta1 ma1,ˈti ˈɛm,tʰa˥ ma˥,Best Chinese food in Hawaii！  对于中国人来讲，吃，应该是人生中最重要的事情了！大家见面都喜欢问：吃了吗？与吃相关的词汇更是数不胜数：吃豆腐、吃官司、吃不了兜着走、吃一堑长一智、吃里扒外...不过这些与真正的吃都没啥联系。现在中国大江南北、长城内外，各大菜系的餐厅应该都开得琳琅满目，街边小吃也数不胜数。不过从美食小吃的品种、数量、味道及受欢迎程度上来看，还是以发源于南方的美食小吃占主导，特别是来自巴蜀大地的。八大菜系里也只有鲁菜是发源于北方的。其实这也是有原因的，个人愚见：首先南方的物产肯定是比北方要丰富，其次北方历史上不是天灾就是人祸的，民众能够填饱肚子都算不错了，哪儿有那么多闲情逸致向南方人那样研究吃的啊。  对于生活在海外的很多中国人来讲，吃，应该也算是最痛苦的事情了。除了洛杉矶那些遍地地道中餐的城市以及啃汉堡面包也能度日的亲。很多中国人到了国外，可能当地的语言没有学好，但是厨艺肯定突飞猛进了。还好我在国内时，厨艺还算过意得去，来夏威夷一切也就艰苦奋斗、自力更生了，唐人街能够买到酱油、醋、豆瓣酱及其它基本的香料和调料 ，除了花椒需要从成都带来夏威夷。之前夏威夷几乎难觅到好吃的中餐，多是菜做得都不咋正宗店面装修得破破烂烂的广东餐厅为主，这些餐厅都喜欢夹杂着卖点儿厨艺还不如我的川菜等其它菜系的菜，就不好好干自己的老本行，你说这东西能做的好吃吗。美国的很多所谓的中餐还是韩国人开的，有的炒菜的厨师还tmd墨西哥人，而很多日本拉面店啥的都是中国人开的。  上前年的时候，夏威夷才开了一间环境及菜品都还不错的小肥羊火锅店，也终算是有了一间拿得出手可以给中国人长点儿脸的中餐厅了。虽然很多国内来的客人都说小肥羊在中国不好吃也都快开不下去，不过夏威夷的小肥羊生意却异常的好，基本上都需要排队。这是为何？因为现在夏威夷生活的中国人及来旅游的中国人真不少，但是拿得出手的中餐真是寥寥无几。以前都不敢带日本妹纸吃Chinese Food，味道都是其次，多数餐厅的环境太tm吓人，怕给中国人丢脸。不管在国内还是国外，很多中餐厅给人的感觉就是脏乱破，都不知道经营者是咋想的，就舍不得把环境卫生弄好一点，再看看人家日本人韩国人的餐厅就要好很多，中餐油烟大不是理由。还有夏威夷有钱的中国人也真不少，也没见有人开间环境等方面好一些的超市，中国人开的破破烂烂的超市都在破破烂烂满街流浪汉的唐人街，而很多人是几乎不会涉足这片区域的。这就是中国人及其事物给外界的一面形象！  去年夏威夷是终于开了一间菜品味道及环境卫生都很好的川菜餐厅：滋味成都。该餐厅虽然面积不大，但是菜品还是比较丰富味道也非常的地道，实属难得。川菜在日本算是属于非常受欢迎的，不过做得都太TM日式，带日本妹纸吃滋味成都，她们都觉得是她们此生吃过的最好吃的Chinese Food。滋味成都在洛杉矶算是非常出名的，生意也非常的好。以前每次去洛杉矶，一下了飞机就直接开车去店门口拍长队(⊙﹏⊙)b，理解吃货的苦衷。所以滋味成都在夏威夷一开，我就几乎没有咋在家里做饭了。每个周都会造访几次，除了自己对麻辣鲜香的需求外，更多的是带客人去改善伙食，O(∩_∩)O~ 以前遇到有的客人对我的要求是：每天玩儿都是其次，每顿要求吃中餐! 以前还确实比较难办，不过现在这个问题已经解决，有的客人在夏威夷旅游几天，几乎每天都会到滋味成都吃饭。有的人可能会说，到国外就应该吃当地的食物，坚决不会吃中餐。其实也是可以理解的，像我这种虽然在国外生活了多年的人，到了像纽约洛杉矶费城等这些大城市，我做的第一件事情肯定也是找中餐厅，特别是川菜。老外的食物除了品种少外，很多东西真是第一口好吃第二口腻第三口就想吐了，对于可以天天顿顿啃面包度日的老外，吃一顿我们觉得特难吃的美式中餐他们都已经觉得够幸福了！所以很多人的心是米国心，胃永远是中国胃！,Best Chinese food in Hawaii！  对于中国人来讲，吃，应该是人生中最重要的事情了！大家见面都喜欢问：吃了吗？与吃相关的词汇更是数不胜数：吃豆腐、吃官司、吃不了兜着走、吃一堑长一智、吃里扒外...不过这些与真正的吃都没啥联系。现在中国大江南北、长城内外，各大菜系的餐厅应该都开得琳琅满目，街边小吃也数不胜数。不过从美食小吃的品种、数量、味道及受欢迎程度上来看，还是以发源于南方的美食小吃占主导，特别是来自巴蜀大地的。八大菜系里也只有鲁菜是发源于北方的。其实这也是有原因的，个人愚见：首先南方的物产肯定是比北方要丰富，其吃北方历史上不是天灾就是人祸的，民众能够填饱肚子都算不错了，哪儿有那么多闲情逸致向南方人那样研究吃的啊。  对于生活在海外的很多中国人来讲，吃，应该也算是最痛苦的事情了。除了洛杉矶那些遍地地道中餐的城市以及啃汉堡面包也能度日的亲。很多中国人到了国外，可能当地的语言没有学好，但是厨艺肯定突飞猛进了。还好我在国内时，厨艺还算过意得去，来夏威夷一切也就艰苦奋斗、自力更生了，唐人街能够买到酱油、醋、豆瓣酱及其它基本的香料和调料 ，除了花椒需要从成都带来夏威夷。之前夏威夷几乎难觅到好吃的中餐，多是菜做得都不咋正宗店面装修得破破烂烂的广东餐厅为主，这些餐厅都喜欢夹杂着卖点儿厨艺还不如我的川菜等其它菜系的菜，就不好好干自己的老本行，你说这东西能做的好吃吗。美国的很多所谓的中餐还是韩国人开的，有的炒菜的厨师还他妈的墨西哥人，而很多日本拉面店啥的都是中国人开的。  上前年的时候，夏威夷才开了一间环境及菜品都还不错的小肥羊火锅店，也终算是有了一间拿得出手可以给中国人长点儿脸的中餐厅了。虽然很多国内来的客人都说小肥羊在中国不好吃也都快开不下去，不过夏威夷的小肥羊生意却异常的好，基本上都需要排队。这是为何？因为现在夏威夷生活的中国人及来旅游的中国人真不少，但是拿得出手的中餐真是寥寥无几。以前都不敢带日本妹子吃Chinese Food，味道都是其吃，多数餐厅的环境太他妈吓人，怕给中国人丢脸。不管在国内还是国外，很多中餐厅给人的感觉就是脏乱破，都不知道经营者是咋想的，就舍不得把环境卫生弄好一点，再看看人家日本人韩国人的餐厅就要好很多，中餐油烟大不是理由。还有夏威夷有钱的中国人也真不少，也没见有人开间环境等方面好一些的超市，中国人开的破破烂烂的超市都在破破烂烂满街流浪汉的唐人街，而很多人是几乎不会涉足这片区域的。这就是中国人及其事物给外界的一面形象！  去年夏威夷是终于开了一间菜品味道及环境卫生都很好的川菜餐厅：滋味成都。该餐厅虽然面积不大，但是菜品还是比较丰富味道也非常的地道，实属难得。川菜在日本算是属于非常受欢迎的，不过做得都太他妈日式，带日本妹子吃滋味成都，她们都觉得是她们此生吃过的最好吃的Chinese Food。滋味成都在洛杉矶算是非常出名的，生意也非常的好。以前每吃去洛杉矶，一下了飞机就直接开车去店门口拍长队(⊙﹏⊙)逼，理解吃货的苦衷。所以滋味成都在夏威夷一开，我就几乎没有咋在家里做饭了。每个周都会造访几吃，除了自己对麻啦鲜香的需求外，更多的是带客人去改善伙食，O(∩_∩)O~ 以前遇到有的客人对我的要求是：每天玩儿都是其吃，每顿要求吃中餐! 以前还确实比较难办，不过现在这个问题已经解决，有的客人在夏威夷旅游几天，几乎每天都会到滋味成都吃饭。有的人可能会说，到国外就应该吃当地的食物，坚决不会吃中餐。其实也是可以理解的，像我这种虽然在国外生活了多年的人，到了像纽约洛杉矶费城等这些大城市，我做的第一件事情肯定也是找中餐厅，特别是川菜。老外的食物除了品种少外，很多东西真是第一口好吃第二口腻第三口就想吐了，对于可以天天顿顿啃面包度日的老外，吃一顿我们觉得特难吃的美式中餐他们都已经觉得够幸福了！所以很多人的心是美国心，胃永远是中国胃！,61,"[""60"", ""98"", ""239"", ""242"", ""305"", ""541"", ""545"", ""547"", ""555"", ""560"", ""565"", ""567"", ""574"", ""575"", ""576"", ""578"", ""588"", ""591"", ""596"", ""605"", ""606"", ""612"", ""614"", ""615"", ""616"", ""621"", ""630"", ""631"", ""639"", ""653"", ""655"", ""665"", ""680"", ""694"", ""711"", ""712"", ""716"", ""718"", ""719"", ""721"", ""722"", ""729"", ""732"", ""737"", ""740"", ""747"", ""756"", ""759"", ""765"", ""774"", ""785"", ""787"", ""794"", ""795"", ""820"", ""821"", ""829"", ""839"", ""841"", ""856"", ""861""]",tm -> 他妈,train
codedlang:60:02,Crowd-AI-Lab/CodedLang,60,tmd,tmd,tmd,tmd,他妈的,他妈的,ta ma de,tˌiːˌɛmdˈiː,tˌiːˌɛmdˈiː,tʰa ma tɤ,tʰa ma tɤ,否,[],official_dictionary_casefold,语音替代,"non_lexical_homophone, phonetic",tmd,ta1 ma1 de,ˈti ˈɛm ti,tʰa˥ ma˥ tɤ,Best Chinese food in Hawaii！  对于中国人来讲，吃，应该是人生中最重要的事情了！大家见面都喜欢问：吃了吗？与吃相关的词汇更是数不胜数：吃豆腐、吃官司、吃不了兜着走、吃一堑长一智、吃里扒外...不过这些与真正的吃都没啥联系。现在中国大江南北、长城内外，各大菜系的餐厅应该都开得琳琅满目，街边小吃也数不胜数。不过从美食小吃的品种、数量、味道及受欢迎程度上来看，还是以发源于南方的美食小吃占主导，特别是来自巴蜀大地的。八大菜系里也只有鲁菜是发源于北方的。其实这也是有原因的，个人愚见：首先南方的物产肯定是比北方要丰富，其次北方历史上不是天灾就是人祸的，民众能够填饱肚子都算不错了，哪儿有那么多闲情逸致向南方人那样研究吃的啊。  对于生活在海外的很多中国人来讲，吃，应该也算是最痛苦的事情了。除了洛杉矶那些遍地地道中餐的城市以及啃汉堡面包也能度日的亲。很多中国人到了国外，可能当地的语言没有学好，但是厨艺肯定突飞猛进了。还好我在国内时，厨艺还算过意得去，来夏威夷一切也就艰苦奋斗、自力更生了，唐人街能够买到酱油、醋、豆瓣酱及其它基本的香料和调料 ，除了花椒需要从成都带来夏威夷。之前夏威夷几乎难觅到好吃的中餐，多是菜做得都不咋正宗店面装修得破破烂烂的广东餐厅为主，这些餐厅都喜欢夹杂着卖点儿厨艺还不如我的川菜等其它菜系的菜，就不好好干自己的老本行，你说这东西能做的好吃吗。美国的很多所谓的中餐还是韩国人开的，有的炒菜的厨师还tmd墨西哥人，而很多日本拉面店啥的都是中国人开的。  上前年的时候，夏威夷才开了一间环境及菜品都还不错的小肥羊火锅店，也终算是有了一间拿得出手可以给中国人长点儿脸的中餐厅了。虽然很多国内来的客人都说小肥羊在中国不好吃也都快开不下去，不过夏威夷的小肥羊生意却异常的好，基本上都需要排队。这是为何？因为现在夏威夷生活的中国人及来旅游的中国人真不少，但是拿得出手的中餐真是寥寥无几。以前都不敢带日本妹纸吃Chinese Food，味道都是其次，多数餐厅的环境太tm吓人，怕给中国人丢脸。不管在国内还是国外，很多中餐厅给人的感觉就是脏乱破，都不知道经营者是咋想的，就舍不得把环境卫生弄好一点，再看看人家日本人韩国人的餐厅就要好很多，中餐油烟大不是理由。还有夏威夷有钱的中国人也真不少，也没见有人开间环境等方面好一些的超市，中国人开的破破烂烂的超市都在破破烂烂满街流浪汉的唐人街，而很多人是几乎不会涉足这片区域的。这就是中国人及其事物给外界的一面形象！  去年夏威夷是终于开了一间菜品味道及环境卫生都很好的川菜餐厅：滋味成都。该餐厅虽然面积不大，但是菜品还是比较丰富味道也非常的地道，实属难得。川菜在日本算是属于非常受欢迎的，不过做得都太TM日式，带日本妹纸吃滋味成都，她们都觉得是她们此生吃过的最好吃的Chinese Food。滋味成都在洛杉矶算是非常出名的，生意也非常的好。以前每次去洛杉矶，一下了飞机就直接开车去店门口拍长队(⊙﹏⊙)b，理解吃货的苦衷。所以滋味成都在夏威夷一开，我就几乎没有咋在家里做饭了。每个周都会造访几次，除了自己对麻辣鲜香的需求外，更多的是带客人去改善伙食，O(∩_∩)O~ 以前遇到有的客人对我的要求是：每天玩儿都是其次，每顿要求吃中餐! 以前还确实比较难办，不过现在这个问题已经解决，有的客人在夏威夷旅游几天，几乎每天都会到滋味成都吃饭。有的人可能会说，到国外就应该吃当地的食物，坚决不会吃中餐。其实也是可以理解的，像我这种虽然在国外生活了多年的人，到了像纽约洛杉矶费城等这些大城市，我做的第一件事情肯定也是找中餐厅，特别是川菜。老外的食物除了品种少外，很多东西真是第一口好吃第二口腻第三口就想吐了，对于可以天天顿顿啃面包度日的老外，吃一顿我们觉得特难吃的美式中餐他们都已经觉得够幸福了！所以很多人的心是米国心，胃永远是中国胃！,Best Chinese food in Hawaii！  对于中国人来讲，吃，应该是人生中最重要的事情了！大家见面都喜欢问：吃了吗？与吃相关的词汇更是数不胜数：吃豆腐、吃官司、吃不了兜着走、吃一堑长一智、吃里扒外...不过这些与真正的吃都没啥联系。现在中国大江南北、长城内外，各大菜系的餐厅应该都开得琳琅满目，街边小吃也数不胜数。不过从美食小吃的品种、数量、味道及受欢迎程度上来看，还是以发源于南方的美食小吃占主导，特别是来自巴蜀大地的。八大菜系里也只有鲁菜是发源于北方的。其实这也是有原因的，个人愚见：首先南方的物产肯定是比北方要丰富，其吃北方历史上不是天灾就是人祸的，民众能够填饱肚子都算不错了，哪儿有那么多闲情逸致向南方人那样研究吃的啊。  对于生活在海外的很多中国人来讲，吃，应该也算是最痛苦的事情了。除了洛杉矶那些遍地地道中餐的城市以及啃汉堡面包也能度日的亲。很多中国人到了国外，可能当地的语言没有学好，但是厨艺肯定突飞猛进了。还好我在国内时，厨艺还算过意得去，来夏威夷一切也就艰苦奋斗、自力更生了，唐人街能够买到酱油、醋、豆瓣酱及其它基本的香料和调料 ，除了花椒需要从成都带来夏威夷。之前夏威夷几乎难觅到好吃的中餐，多是菜做得都不咋正宗店面装修得破破烂烂的广东餐厅为主，这些餐厅都喜欢夹杂着卖点儿厨艺还不如我的川菜等其它菜系的菜，就不好好干自己的老本行，你说这东西能做的好吃吗。美国的很多所谓的中餐还是韩国人开的，有的炒菜的厨师还他妈的墨西哥人，而很多日本拉面店啥的都是中国人开的。  上前年的时候，夏威夷才开了一间环境及菜品都还不错的小肥羊火锅店，也终算是有了一间拿得出手可以给中国人长点儿脸的中餐厅了。虽然很多国内来的客人都说小肥羊在中国不好吃也都快开不下去，不过夏威夷的小肥羊生意却异常的好，基本上都需要排队。这是为何？因为现在夏威夷生活的中国人及来旅游的中国人真不少，但是拿得出手的中餐真是寥寥无几。以前都不敢带日本妹子吃Chinese Food，味道都是其吃，多数餐厅的环境太他妈吓人，怕给中国人丢脸。不管在国内还是国外，很多中餐厅给人的感觉就是脏乱破，都不知道经营者是咋想的，就舍不得把环境卫生弄好一点，再看看人家日本人韩国人的餐厅就要好很多，中餐油烟大不是理由。还有夏威夷有钱的中国人也真不少，也没见有人开间环境等方面好一些的超市，中国人开的破破烂烂的超市都在破破烂烂满街流浪汉的唐人街，而很多人是几乎不会涉足这片区域的。这就是中国人及其事物给外界的一面形象！  去年夏威夷是终于开了一间菜品味道及环境卫生都很好的川菜餐厅：滋味成都。该餐厅虽然面积不大，但是菜品还是比较丰富味道也非常的地道，实属难得。川菜在日本算是属于非常受欢迎的，不过做得都太他妈日式，带日本妹子吃滋味成都，她们都觉得是她们此生吃过的最好吃的Chinese Food。滋味成都在洛杉矶算是非常出名的，生意也非常的好。以前每吃去洛杉矶，一下了飞机就直接开车去店门口拍长队(⊙﹏⊙)逼，理解吃货的苦衷。所以滋味成都在夏威夷一开，我就几乎没有咋在家里做饭了。每个周都会造访几吃，除了自己对麻啦鲜香的需求外，更多的是带客人去改善伙食，O(∩_∩)O~ 以前遇到有的客人对我的要求是：每天玩儿都是其吃，每顿要求吃中餐! 以前还确实比较难办，不过现在这个问题已经解决，有的客人在夏威夷旅游几天，几乎每天都会到滋味成都吃饭。有的人可能会说，到国外就应该吃当地的食物，坚决不会吃中餐。其实也是可以理解的，像我这种虽然在国外生活了多年的人，到了像纽约洛杉矶费城等这些大城市，我做的第一件事情肯定也是找中餐厅，特别是川菜。老外的食物除了品种少外，很多东西真是第一口好吃第二口腻第三口就想吐了，对于可以天天顿顿啃面包度日的老外，吃一顿我们觉得特难吃的美式中餐他们都已经觉得够幸福了！所以很多人的心是美国心，胃永远是中国胃！,10,"[""60"", ""591"", ""611"", ""619"", ""626"", ""627"", ""720"", ""750"", ""817"", ""852""]",tmd -> 他妈的,train
codedlang:45:01,Crowd-AI-Lab/CodedLang,45,桑心,桑心,桑心,sang xin,伤心,伤心,shang xin,sɑŋ ɕin,sɑŋ ɕin,ʂɑŋ ɕin,ʂɑŋ ɕin,否,[],official_dictionary_casefold,非词汇同音词,non_lexical_homophone,sang1 xin1,shang1 xin1,sa˥ŋ ɕi˥n,ʂa˥ŋ ɕi˥n,牛肉超级嫩 很好吃 就是有点太大块了 生鱼片很实惠16pc才24刀！！ 拉面汤底和溏心蛋很棒！！但是面条煮的太软了… 希望下回面条不会这么软！ cheesecake 没货了 桑心😭 一定！！还会再来！！,牛肉超级嫩 很好吃 就是有点太大块了 生鱼片很实惠1厉害pc才24刀！！ 拉面汤底和溏心蛋很棒！！但是面条煮的太软了… 希望下回面条不会这么软！ cheesecake 没货了 伤心😭 一定！！还会再来！！,2,"[""45"", ""136""]",桑心 -> 伤心,train
codedlang:396:02,Crowd-AI-Lab/CodedLang,396,你牠妈,你牠妈,你牠妈,ni ta ma,你他妈,你他妈,ni ta ma,ni tʰa ma,ni tʰa ma,ni tʰa ma,ni tʰa ma,否,[],official_dictionary_casefold,非词汇同音词,"non_lexical_homophone, orthographic, phonetic",ni3 ta1 ma1,ni3 ta1 ma1,ni˧˩˧ tʰa˥ ma˥,ni˧˩˧ tʰa˥ ma˥,艹尼玛币的垃圾公司，赶紧倒闭吧，好不容易网上卖东西，结果客人退货，退货就算了，你牠妈的还收了那么多的手续费，老子没挣一分钱你TMD还收手续费！做梦去吧，操你妈逼的，还让讨债公司来收费，你他妈的真贱啊。去死吧老子一毛都不会给的！,草你妈逼的垃圾公司，赶紧倒闭吧，好不容易网上卖东西，结果客人退货，退货就算了，你他妈的还收了那么多的手续费，老子没挣一分钱你他妈的还收手续费！做梦去吧，操你妈逼的，还让讨债公司来收费，你他妈的真贱啊。去死吧老子一毛都不会给的！,1,"[""396""]",你牠妈 -> 你他妈,train
codedlang:50:01,Crowd-AI-Lab/CodedLang,50,尼玛,尼玛,尼玛,ni ma,你妈,你妈,ni ma,ni ma,ni ma,ni ma,ni ma,否,[],official_dictionary_casefold,非词汇同音词,non_lexical_homophone,ni2 ma3,ni3 ma1,ni˧˥ ma˧˩˧,ni˧˩˧ ma˥,我在这里住了四天。遇到了很多奇怪的事。比如厕所里面莫名其妙的出现一股臭味，迷漫着整个洗手间；做过卫生的房间里没有添一次性的水杯和装冰的塑料袋；被子上有一些长长的头发没有清理掉；最可恶的是第一天因为没有零钱，而且也是赶着出门没有放小费，结果晚上回来的时候微波炉就“坏”了！检查了一下才发现是微波炉的插座叫人给拔了。去询问前台，大堂经理把责任推给客房服务部，还说是因为要给微波炉加垫子保护家具所以拔了插座然后可能忘记插了。我其实是愿意相信大堂经理的，因为她的态度很好。但是，让我没法忍受的是出门的时候刚巧遇上客服服务人员在做卫生。那个推着大车的服务员看到我就一直盯着，在我经过她身边的时候忽然问我“你是不是XXX房间的？”我说是，她就问我“今天房间要不要清理？如果不要就在这里签字。”我还没说话，一张什么纸就伸到了我面前让我签。尼玛！我一看这不对啊！住过这么多次这家公司的宾馆也没遇到过这种“特别”照顾的呀！我说“不用，我房门上挂了牌子”没签，我转身走了。这些都是我的亲身经历。如果你不想因为这些琐事影响你的旅途，你知道该怎么做。对了。这家店大堂有个旅游介绍的窗口，那里有时候会给你一个很好的折扣，比如你要去迪士尼，环球影城，水上乐园，海洋世界。OK给你一个优惠！这个优惠就是你回去怎么算都觉得优惠的优惠！但是，重点来了。你的夫妻收入要达到7W以上。为什么呢？因为这个优惠不是白给你的，你要去参加一个小的“导购团”：）当然她不会告诉你是导购。她会告诉你是一个介绍的团，目的是让你喜欢这里，让你再来！好想不错是吧。告诉你：是导购卖度假村房子使用权的。大概价格是40W+1500/year的终身会员。在此基础上你一年可以在他们集团的度假村酒店住2周。是不是很好。但是注意，这里是没有时间限制的，你要不买就说不买，你不说就别想走。我耽误了3个小时。好了就是各种不好。你要是还想住那是你的事了。,我在这里住了四天。遇到了很多奇怪的事。比如厕所里面莫名其妙的出现一股臭味，迷漫着整个洗手间；做过卫生的房间里没有添一吃性的水杯和装冰的塑料袋；被子上有一些长长的头发没有清理掉；最可恶的是第一天因为没有零钱，而且也是赶着出门没有放小费，结果晚上回来的时候微波炉就“坏”了！检查了一下才发现是微波炉的插座叫人给拔了。去询问前台，大堂经理把责任推给客房服务部，还说是因为要给微波炉加垫子保护家具所以拔了插座然后可能忘记插了。我其实是愿意相信大堂经理的，因为她的态度很好。但是，让我没法忍受的是出门的时候刚巧遇上客服服务人员在做卫生。那个推着大车的服务员看到我就一直盯着，在我经过她身边的时候忽然问我“你是不是叉叉叉房间的？”我说是，她就问我“今天房间要不要清理？如果不要就在这里签字。”我还没说话，一张什么纸就伸到了我面前让我签。你妈！我一看这不对啊！住过这么多吃这家公司的宾馆也没遇到过这种“特别”照顾的呀！我说“不用，我房门上挂了牌子”没签，我转身走了。这些都是我的亲身经历。如果你不想因为这些琐事影响你的旅途，你知道该怎么做。对了。这家店大堂有个旅游介绍的窗口，那里有时候会给你一个很好的折扣，比如你要去迪士尼，环球影城，水上乐园，海洋世界。OK给你一个优惠！这个优惠就是你回去怎么算都觉得优惠的优惠！但是，重点来了。你的夫妻收入要达到7W以上。为什么呢？因为这个优惠不是白给你的，你要去参加一个小的“导购团”：）当然她不会告诉你是导购。她会告诉你是一个介绍的团，目的是让你喜欢这里，让你再来！好想不错是吧。告诉你：是导购卖度假村房子使用权的。大概价格是40W+1500/year的终身会员。在此基础上你一年可以在他们集团的度假村酒店住2周。是不是很好。但是注意，这里是没有时间限制的，你要不买就说不买，你不说就别想走。我耽误了3个小时。好了就是各种不好。你要是还想住那是你的事了。,43,"[""50"", ""54"", ""57"", ""69"", ""95"", ""107"", ""110"", ""116"", ""121"", ""123"", ""127"", ""134"", ""139"", ""144"", ""157"", ""174"", ""178"", ""188"", ""193"", ""202"", ""205"", ""210"", ""216"", ""218"", ""239"", ""242"", ""249"", ""271"", ""297"", ""298"", ""317"", ""318"", ""337"", ""354"", ""382"", ""408"", ""433"", ""447"", ""455"", ""457"", ""494"", ""495"", ""503""]",尼玛 -> 你妈,train
codedlang:472:02,Crowd-AI-Lab/CodedLang,472,nmsl,nmsl,nmsl,nmsl,你妈死了,你妈死了,ni ma si le,ˌɛnˌɛmˌɛsˈɛl,ˌɛnˌɛmˌɛsˈɛl,ni ma sɹ̩ lɤ,ni ma sɹ̩ lɤ,否,[],official_dictionary_casefold,语音替代,"non_lexical_homophone, phonetic",nmsl,ni3 ma1 si3 le,ˈɛm ˈɛm ˈɛs ˈɛɫ,ni˧˩˧ ma˥ sɹ̩˧˩˧ lɤ,垃圾东西，叫我晚上8点去拿，特么6:30结束，nmsl,垃圾东西，叫我晚上不点去拿，他妈厉害:30结束，你妈死了,3,"[""472"", ""516"", ""779""]",nmsl -> 你妈死了,train
codedlang:396:03,Crowd-AI-Lab/CodedLang,396,尼玛币,尼玛币,尼玛币,ni ma bi,你妈逼,你妈逼,ni ma bi,ni ma pi,ni ma pi,ni ma pi,ni ma pi,否,[],official_dictionary_casefold,非词汇同音词,"non_lexical_homophone, orthographic, phonetic",ni2 ma3 bi4,ni3 ma1 bi1,ni˧˥ ma˧˩˧ pi˥˩,ni˧˩˧ ma˥ pi˥,艹尼玛币的垃圾公司，赶紧倒闭吧，好不容易网上卖东西，结果客人退货，退货就算了，你牠妈的还收了那么多的手续费，老子没挣一分钱你TMD还收手续费！做梦去吧，操你妈逼的，还让讨债公司来收费，你他妈的真贱啊。去死吧老子一毛都不会给的！,草你妈逼的垃圾公司，赶紧倒闭吧，好不容易网上卖东西，结果客人退货，退货就算了，你他妈的还收了那么多的手续费，老子没挣一分钱你他妈的还收手续费！做梦去吧，操你妈逼的，还让讨债公司来收费，你他妈的真贱啊。去死吧老子一毛都不会给的！,3,"[""396"", ""433"", ""483""]",尼玛币 -> 你妈逼,train
codedlang:227:01,Crowd-AI-Lab/CodedLang,227,沙雕,沙雕,沙雕,sha diao,傻屌,傻屌,sha diao,ʂa tiɑʊ,ʂa tiɑʊ,ʂa tiɑʊ,ʂa tiɑʊ,否,[],official_dictionary_casefold,歧义同音词,ambiguous_homophone,sha1 diao1,sha3 diao3,ʂa˥ tjau̯˥,ʂa˧˩˧ tjau̯˧˩˧,垃圾饭店，沙雕店长，态度极其恶劣！没火之前还好，火了以后把自己当什么了，极度不推荐！我还是没火之前就一直光顾的，现在火了真的是膨胀了！不改态度就不删评论！！！（尤其是那个戴眼镜的大妈）,垃圾饭店，傻屌店长，态度极其恶劣！没火之前还好，火了以后把自己当什么了，极度不推荐！我还是没火之前就一直光顾的，现在火了真的是膨胀了！不改态度就不删评论！！！（尤其是那个戴眼镜的大妈）,3,"[""227"", ""326"", ""374""]",沙雕 -> 傻屌,train
codedlang:129:02,Crowd-AI-Lab/CodedLang,129,煞笔,煞笔,煞笔,sha bi,傻逼,傻逼,sha bi,ʂa pi,ʂa pi,ʂa pi,ʂa pi,否,[],official_dictionary_casefold,非词汇同音词,ambiguous_homophone,sha1 bi3,sha3 bi1,ʂa˥ pi˧˩˧,ʂa˧˩˧ pi˥,本来想去医院拔智齿，给我来一顿操作，量了个血压，带上手套摸了一下我智齿，收费我250刀。真是草泥马了。煞笔美国医疗。傻煞笔医院。,本来想去医院拔智齿，给我来一顿操作，量了个血压，带上手套摸了一下我智齿，收费我250刀。真是操你妈了。傻逼美国医疗。傻傻逼医院。,1,"[""129""]",煞笔 -> 傻逼,train
codedlang:297:03,Crowd-AI-Lab/CodedLang,297,sb,sb,sb,sb,傻逼,傻逼,sha bi,ˌɛsbˈiː,ˌɛsbˈiː,ʂa pi,ʂa pi,否,[],official_dictionary_casefold,语音替代,"non_lexical_homophone, phonetic",sb,sha3 bi1,ˈɛs pi˥,ʂa˧˩˧ pi˥,千万别来价格跟Gen BBQ差不多但种类少，服务差的不是一星半点，餐馆是中不中韩不韩美不美，加上给sb的小费，差不多就去姜虎东烤肉了虽然服务也一般但最起码按时换烤盘帮忙烤肉，这尼玛的什么都不管还jb有脸收小费。评论还有人说种类多，多NIMALEGEBI的没吃够烤肉是吧，这叫种类多，眼瞎啊。,千万别来价格跟Gen BBQ差不多但种类少，服务差的不是一星半点，餐馆是中不中韩不韩美不美，加上给傻逼的小费，差不多就去姜虎东烤肉了虽然服务也一般但最起码按时换烤盘帮忙烤肉，这你妈的什么都不管还鸡巴有脸收小费。评论还有人说种类多，多NIMALEGEBI的没吃够烤肉是吧，这叫种类多，眼瞎啊。,15,"[""297"", ""574"", ""580"", ""598"", ""608"", ""614"", ""687"", ""693"", ""695"", ""778"", ""779"", ""791"", ""792"", ""834"", ""835""]",sb -> 傻逼,train
