序号,id,原始变种文本,还原答案,CoreHit命中,variant_mapping,语音映射片段含字母,语义片段映射,完整上下文映射,macro_category,category,reasoning,语义片段映射含英文字母,字母片段一声调映射,语义片段映射（字母归一化）
26,biz_0026#1,补药啊我的亲友里就有叫雨落的，更地狱的是我还玩mmo…,不要啊我的亲友里就有叫雨落的，更地狱的是我还玩mmo…,是,补药 -> 不要,否,补药 -> 不要,补药啊我的亲友里就有叫雨落的，更地狱的是我还玩mmo… -> 不要啊我的亲友里就有叫雨落的，更地狱的是我还玩mmo…,拟音,歧义同音词,“补药”是现有词汇，通过同音替换表达“不要”的含义，属于拟音大类中的歧义同音词。,否,,补药 -> 不要
27,biz_0019#1,为啥这种小说都是双🌟的[尬住R],为啥这种小说都是双性的[尬住R],是,🌟 -> 性,否,双🌟的 -> 双性的,为啥这种小说都是双🌟的[尬住R] -> 为啥这种小说都是双性的[尬住R],其他,表情符号替换,使用表情符号🌟（星星）谐音替代“性”，属于表情符号替换。,否,,双🌟的 -> 双性的
28,biz_0005#1,一遍还不停的用脚尖弄右位的🌨️kou,一边还不停地用脚尖弄右位的穴口,否,一遍 -> 一边；的 -> 地；🌨️kou -> 穴口,是,一遍 -> 一边；还不停的 -> 还不停地；🌨️kou -> 穴口,一遍还不停的用脚尖弄右位的🌨️kou -> 一边还不停地用脚尖弄右位的穴口,其他,表情符号替换,变种文本包含多个变体，其中核心变体为表情符号“🌨️”与拼音“kou”组合替代“穴口”，属于表情符号替换，因此归类为其他-表情符号替换。,,,一遍 -> 一边；还不停的 -> 还不停地；🌨️kou -> 穴口
29,biz_0032#1,写的太好了劳斯[完啦R],写的太好了老师[完啦R],是,劳斯 -> 老师,否,劳斯 -> 老师,写的太好了劳斯[完啦R] -> 写的太好了老师[完啦R],拟音,非词汇同音词,变体“劳斯”与“老师”发音相近，且“劳斯”本身不是有效词汇，通过谐音解码为约定俗成的短语，符合非词汇同音词定义。,否,,劳斯 -> 老师
30,biz_0013#1,是是是..是gb吗还是..？（因为看到女a男o来着！,是是是..是女攻男受吗还是..？（因为看到女a男o来着！,是,gb -> 女攻男受,是,gb -> 女攻男受,是是是..是gb吗还是..？（因为看到女a男o来着！ -> 是是是..是女攻男受吗还是..？（因为看到女a男o来着！,其他,缩写,变体“gb”为英文字母缩写，与“女攻男受”在发音上无关，属于缩写类别。,是,gb -> ge bo,ge bo -> 女攻男受
31,biz_0038#1,筱雪里还有一个可以控制的td，在电影最恐怖的时候哥顺势把档位调,小穴里还有一个可以控制的跳蛋，在电影最恐怖的时候哥顺势把档位调,否,筱雪 -> 小穴,否,筱雪 -> 小穴,筱雪里还有一个可以控制的td，在电影最恐怖的时候哥顺势把档位调 -> 小穴里还有一个可以控制的跳蛋，在电影最恐怖的时候哥顺势把档位调,拟音,歧义同音词,“筱雪”与“小穴”发音相近，且“筱雪”本身是有效词汇，通过同音替换表达预期含义，属于歧义同音词。,否,,筱雪 -> 小穴
32,biz_0059#1,我c，九九归一牛逼,我操，九九归一牛逼,是,c -> 操,是,我c -> 我操,我c，九九归一牛逼 -> 我操，九九归一牛逼,其他,缩写,使用拼音首字母'c'代替'操'，发音上并不相近，属于缩写。,是,c -> ci,我ci -> 我操
33,biz_0039#1,茎叶和右位的氵混合着填满了右位的zi宫小腹,精液和右位的水混合着填满了右位的子宫小腹,否,茎叶 -> 精液,否,茎叶 -> 精液,茎叶和右位的氵混合着填满了右位的zi宫小腹 -> 精液和右位的水混合着填满了右位的子宫小腹,拟音,歧义同音词,“茎叶”与“精液”发音完全相同，利用现有词汇形成同音替换，属于歧义同音词。,否,,茎叶 -> 精液
34,biz_0029#1,师尊又好面子忍着不jiao，却已经控制不住的流🥛,师尊又好面子忍着不叫，却已经控制不住的流奶,否,jiao -> 叫,是,不jiao -> 不叫,师尊又好面子忍着不jiao，却已经控制不住的流🥛 -> 师尊又好面子忍着不叫，却已经控制不住的流奶,拟音,语音符号替代,使用拼音“jiao”代替汉字“叫”，属于语音符号替代。,,,不jiao -> 不叫
35,biz_0016#1,说什么把受也给他cc，攻直接当着他们的面c受,说什么把受也给他操操，攻直接当着他们的面操受,否,c -> 操；cc -> 操操,是,cc -> 操操；c受 -> 操受,说什么把受也给他cc，攻直接当着他们的面c受 -> 说什么把受也给他操操，攻直接当着他们的面操受,拟音,语音符号替代,变体'c'和'cc'通过罗马字母发音近似汉字'操'，属于语音符号替代。,是,cc -> ci ci；c -> ci,ci ci -> 操操；ci受 -> 操受
36,biz_0034#1,plq有聊扫的。,评论区有聊骚的。,否,plq -> 评论区,是,plq -> 评论区,plq有聊扫的。 -> 评论区有聊骚的。,其他,缩写,plq是拼音首字母缩写，发音不模拟原词，属于其他大类的缩写。,是,plq -> po le qi,po le qi -> 评论区
37,biz_0056#1,来点sweet talk。厚乳哥会把妹捞回来,来点sweet talk。后入哥会把妹捞回来,否,厚乳 -> 后入,否,厚乳哥 -> 后入哥,来点sweet talk。厚乳哥会把妹捞回来 -> 来点sweet talk。后入哥会把妹捞回来,拟音,歧义同音词,“厚乳”是现有词汇（如厚乳拿铁），其预期含义“后入”因同音词而不同，属于歧义同音词。,否,,厚乳哥 -> 后入哥
38,biz_0033#1,头对头ru头对着🐢头,头对头乳头对着龟头,是,ru -> 乳,是,ru头 -> 乳头,头对头ru头对着🐢头 -> 头对头乳头对着龟头,拟音,语音符号替代,使用拼音“ru”代替汉字“乳”，发音相同，属于语音符号替代。,,,ru头 -> 乳头
39,biz_0023#1,真的很适合阿美😍😭！A前面生无可恋的眼神和后面的腹黑真的也很适合,真的很适合美国😍😭！A前面生无可恋的眼神和后面的腹黑真的也很适合,是,阿美 -> 美国,否,阿美 -> 美国,真的很适合阿美😍😭！A前面生无可恋的眼神和后面的腹黑真的也很适合 -> 真的很适合美国😍😭！A前面生无可恋的眼神和后面的腹黑真的也很适合,拟音,跨语言语音编码（含方言，可称非普通话音近）,“阿美”是“阿美利卡”（America）的音译缩写，通过跨语言语音近似指代“美国”，属于非普通话同音替代。,否,,阿美 -> 美国
40,biz_0063#1,随后贺朝拿来了ftq，嗯，谢俞被金属冰到了,随后贺朝拿来了分腿器，嗯，谢俞被金属冰到了,否,ftq -> 分腿器,是,ftq -> 分腿器,随后贺朝拿来了ftq，嗯，谢俞被金属冰到了 -> 随后贺朝拿来了分腿器，嗯，谢俞被金属冰到了,其他,缩写,ftq是“分腿器”的拼音首字母缩写，属于不依赖发音的视觉符号编码，归为其他大类下的缩写子类。,是,ftq -> fo te qi,fo te qi -> 分腿器
41,biz_0066#1,小心拉下一看太好了！是女a男o！,小心拉下一看太好了！是女Alpha男Omega！,是,a -> Alpha；o -> Omega,是,女a -> 女Alpha；男o -> 男Omega,小心拉下一看太好了！是女a男o！ -> 小心拉下一看太好了！是女Alpha男Omega！,其他,缩写,“a”和“o”分别取自“Alpha”和“Omega”的首字母，属于缩写，发音无关。,是,a -> a；o -> o,女a -> 女Alpha；男o -> 男Omega
42,biz_0057#1,自己看着自己的//dong//开始流氵,自己看着自己的洞开始流水,否,//dong// -> 洞；氵 -> 水,是,自己的//dong// -> 自己的洞；流氵 -> 流水,自己看着自己的//dong//开始流氵 -> 自己看着自己的洞开始流水,拟音,语音符号替代,//dong//为拼音，氵为同音部首，均通过语音相似替代汉字，属于语音符号替代。,,,自己的//dong// -> 自己的洞；流氵 -> 流水
43,biz_0088#1,有没有这种饭的bg文……（雷清水）,有没有这种饭的boygirl文……（雷无性内容）,否,bg -> boygirl；清水 -> 无性内容,是,bg文 -> boygirl文；雷清水 -> 雷无性内容,有没有这种饭的bg文……（雷清水） -> 有没有这种饭的boygirl文……（雷无性内容）,其他,缩写,bg是boygirl的拼音首字母缩写，属于缩写子类；清水替换为无性内容，虽非典型的缩写，但整体变种以缩写为特征，因此归入其他类缩写。,是,,bg文 -> boygirl文；雷清水 -> 雷无性内容
44,biz_0062#1,有个卖qq用品的文，每章都是拿右位来讲解产品的,有个卖情趣用品的文，每章都是拿右位来讲解产品的,是,qq -> 情趣,是,qq用品 -> 情趣用品,有个卖qq用品的文，每章都是拿右位来讲解产品的 -> 有个卖情趣用品的文，每章都是拿右位来讲解产品的,其他,缩写,变体“qq”是“情趣”的拼音首字母缩写，发音无关，属于其他大类的缩写。,是,qq -> qi qi,qi qi用品 -> 情趣用品
45,biz_0037#1,最后逼老婆离婚，pua小爱在结婚书签名。桩桩件件都是令人发指罄竹难书,最后逼老婆离婚，精神操控小爱在结婚书签名。桩桩件件都是令人发指罄竹难书,否,pua -> 精神操控,是,pua小爱 -> 精神操控小爱,最后逼老婆离婚，pua小爱在结婚书签名。桩桩件件都是令人发指罄竹难书 -> 最后逼老婆离婚，精神操控小爱在结婚书签名。桩桩件件都是令人发指罄竹难书,其他,缩写,pua是英文缩写，发音与中文无关，属于其他大类下的缩写，通过缩写编码表达精神操控的含义。,是,,pua小爱 -> 精神操控小爱
46,biz_0082#1,慎！地狱BE向苦命鸳鸳还有抹布，原本在一起的两人因为觉醒成哨向,慎！地狱bad ending向苦命鸳鸳还有轮奸，原本在一起的两人因为觉醒成哨向,否,BE -> bad ending；抹布 -> 轮奸,是,BE向 -> bad ending向；抹布 -> 轮奸,慎！地狱BE向苦命鸳鸳还有抹布，原本在一起的两人因为觉醒成哨向 -> 慎！地狱bad ending向苦命鸳鸳还有轮奸，原本在一起的两人因为觉醒成哨向,其他,缩写,BE为英文缩写，抹布为隐喻替代，均非音近，属于其他大类中的缩写。,是,,BE向 -> bad ending向；抹布 -> 轮奸
47,biz_0092#1,第一张冷战秒了(ky致歉),第一张冷战秒了(不会读空气致歉),否,ky -> 不会读空气,是,ky致歉 -> 不会读空气致歉,第一张冷战秒了(ky致歉) -> 第一张冷战秒了(不会读空气致歉),其他,缩写,ky是日语罗马字缩写，发音不相关，属于其他大类中的缩写。,是,,ky致歉 -> 不会读空气致歉
48,biz_0091#1,作者名：cao哥是最sao的,作者名：操哥是最骚的,是,cao -> 操；sao -> 骚,是,cao哥 -> 操哥；最sao的 -> 最骚的,作者名：cao哥是最sao的 -> 作者名：操哥是最骚的,拟音,语音符号替代,变体使用拼音字母“cao”和“sao”分别替代汉字“操”和“骚”，属于利用字母符号根据发音替代标准汉字，符合语音符号替代的定义。,,,cao哥 -> 操哥；最sao的 -> 最骚的
49,biz_0101#1,妹的脸蛋上也会被🐍满jy,妹的脸蛋上也会被射满精液,是,🐍 -> 射；jy -> 精液,是,被🐍满jy -> 被射满精液,妹的脸蛋上也会被🐍满jy -> 妹的脸蛋上也会被射满精液,其他,表情符号替换,文本中使用了表情符号“🐍”替代“射”，同时使用了拼音缩写“jy”替代“精液”，但主要变种策略为表情符号替换，因此归类为表情符号替换。,是,jy -> ji yi,被🐍满ji yi -> 被射满精液
50,biz_0123#1,下一秒就因为快//gan的堆积而变得乱糟糟湿漉漉,下一秒就因为快感的堆积而变得乱糟糟湿漉漉,是,//gan -> 感,是,快//gan -> 快感,下一秒就因为快//gan的堆积而变得乱糟糟湿漉漉 -> 下一秒就因为快感的堆积而变得乱糟糟湿漉漉,拟音,语音符号替代,变体“//gan”使用拼音“gan”代替汉字“感”，属于拟音中的语音符号替代。,,,快//gan -> 快感
51,biz_0089#1,让爬过去也爬了，让摇pg也摇了,让爬过去也爬了，让摇屁股也摇了,是,pg -> 屁股,是,摇pg -> 摇屁股,让爬过去也爬了，让摇pg也摇了 -> 让爬过去也爬了，让摇屁股也摇了,其他,缩写,pg 是“屁股”的拼音首字母缩写，发音上不直接模拟“屁股”，属于其他大类中的缩写。,是,pg -> po ge,摇po ge -> 摇屁股
52,biz_0125#1,女童一般不接受bl但也不排除有可能,女同一般不接受bl但也不排除有可能,否,童 -> 同,否,女童 -> 女同,女童一般不接受bl但也不排除有可能 -> 女同一般不接受bl但也不排除有可能,拟音,歧义同音词,“女童”是有效的词汇，字面为女童，同音替换为“女同”表示女同性恋，属于歧义同音词。,否,,女童 -> 女同
53,biz_0122#1,他回办公室之后，1就跟过来了，看到0zw，就开始大法特法,他回办公室之后，1就跟过来了，看到受自慰，就开始大fuck特fuck,否,0zw -> 受自慰；法 -> fuck,是,看到0zw -> 看到受自慰；大法特法 -> 大fuck特fuck,他回办公室之后，1就跟过来了，看到0zw，就开始大法特法 -> 他回办公室之后，1就跟过来了，看到受自慰，就开始大fuck特fuck,其他,缩写,变种'0zw'使用数字和拼音首字母缩写，发音上与'受自慰'无关，符合其他大类下的缩写定义。,zw是,,看到0zw -> 看到0自慰；大法特法 -> 大fuck特fuck
54,biz_0064#1,妹回家一看沃曹r夹，思前想后还是戴上了,妹回家一看卧槽乳夹，思前想后还是戴上了,否,沃曹r -> 卧槽乳,是,沃曹r夹 -> 卧槽乳夹,妹回家一看沃曹r夹，思前想后还是戴上了 -> 妹回家一看卧槽乳夹，思前想后还是戴上了,其他,缩写,变体中使用拼音首字母“r”代替“乳”，发音无关，符合缩写类定义。,是,r -> ri,沃曹ri夹 -> 卧槽乳夹
55,biz_0138#1,左哎的时候哥要fu着妹的腰才能进去,做爱的时候哥要扶着妹的腰才能进去,是,左哎 -> 做爱；fu -> 扶,是,左哎 -> 做爱；fu -> 扶,左哎的时候哥要fu着妹的腰才能进去 -> 做爱的时候哥要扶着妹的腰才能进去,拟音,非词汇同音词,主要变体“左哎”通过同音替换“做爱”，表面不构成有效词汇，属于非词汇同音词；拼音“fu”属于语音符号替代，但整体以汉字同音为主，故归入非词汇同音词。,,,左哎 -> 做爱；fu -> 扶
56,biz_0087#1,蓝忘机再次栖身ya上来，退出去大半又狠狠庄近去,蓝忘机再次栖身压上来，退出去大半又狠狠撞进去,是,ya -> 压；庄近 -> 撞进,是,ya -> 压；庄近 -> 撞进,蓝忘机再次栖身ya上来，退出去大半又狠狠庄近去 -> 蓝忘机再次栖身压上来，退出去大半又狠狠撞进去,拟音,语音符号替代,包含两个变体：ya 是拼音，直接替代汉字“压”，属于语音符号替代；庄近是谐音汉字，替代“撞进”，属于非词汇同音词。整体归类为拟音，以语音符号替代为主。,,,ya -> 压；庄近 -> 撞进
57,biz_0137#1,先手动来了遍豆子g潮，但因为是第一次,先手动来了遍阴蒂高潮，但因为是第一次,否,豆子g -> 阴蒂高,是,豆子g潮 -> 阴蒂高潮,先手动来了遍豆子g潮，但因为是第一次 -> 先手动来了遍阴蒂高潮，但因为是第一次,其他,缩写,变体中使用拼音首字母“g”代替“高”，发音无关，属于缩写。,是,g -> ge,豆子ge潮 -> 阴蒂高潮
58,biz_0135#1,使用了三天三夜才出来，被灌了一/肚/子jy,使用了三天三夜才出来，被灌了一肚子精液,是,jy -> 精液,是,jy -> 精液,使用了三天三夜才出来，被灌了一/肚/子jy -> 使用了三天三夜才出来，被灌了一肚子精液,其他,缩写,jy是拼音首字母缩写，与精液发音无关，属于缩写类。,是,jy -> ji yi,ji yi -> 精液
59,biz_0159#1,如果还有后续 请tt我 谢谢老师,如果还有后续 请踢踢我 谢谢老师,否,tt -> 踢踢,是,tt我 -> 踢踢我,如果还有后续 请tt我 谢谢老师 -> 如果还有后续 请踢踢我 谢谢老师,其他,缩写,tt是'踢踢'的拼音首字母缩写，发音上无直接关联，属于缩写。,是,tt -> te te,te te我 -> 踢踢我
60,biz_0158#1,原炀迫不及待的cha入🖋里，里面很紧,原炀迫不及待的插入逼里，里面很紧,是,cha -> 插,是,cha入 -> 插入,原炀迫不及待的cha入🖋里，里面很紧 -> 原炀迫不及待的插入逼里，里面很紧,拟音,语音符号替代,拼音“cha”根据发音替代汉字“插”，属于语音符号替代。,,,cha入 -> 插入
61,biz_0144#1,v一看斐还是不信，直接再次开法，顶得斐叫出声来,v一看斐还是不信，直接再次开操，顶得斐叫出声来,否,法 -> 操,否,开法 -> 开fuck,v一看斐还是不信，直接再次开法，顶得斐叫出声来 -> v一看斐还是不信，直接再次开操，顶得斐叫出声来,拟音,跨语言语音编码（含方言，可称非普通话音近）,“法”音译自英文“fuck”，对应中文“操”，属于跨语言语音近似编码。,,,开法 -> 开fuck
62,biz_0143#1,又用力c进两根手指带出了很多氵 左位也被右位骚的不行,又用力插进两根手指带出了很多水 左位也被右位骚的不行,是,c -> 插；氵 -> 水,是,c进 -> 插进；很多氵 -> 很多水,又用力c进两根手指带出了很多氵 左位也被右位骚的不行 -> 又用力插进两根手指带出了很多水 左位也被右位骚的不行,拟音,语音符号替代,变体'c'和'氵'分别通过罗马字母和汉字偏旁的发音近似代替'插'和'水'，属于拟音中的语音符号替代。,是,c -> ci,ci进 -> 插进；很多氵 -> 很多水
