fragment_id,source_row_id,variant_fragment_raw,variant_fragment_normalized,phonetic_text,pinyin_reading,canonical_fragment,canonical_phonetic_text,canonical_pinyin_reading,canonical_ipa,canonical_ipa_candidate,canonical_needs_manual_review,canonical_manual_review_reasons,ipa,ipa_candidate,needs_manual_review,manual_review_reasons,normalization_rules,macro_category,category,original_variant_text,original_canonical_text
biz_rare_char_000161#1:02,biz_rare_char_000161#1,臊俾,臊俾,臊俾,sao1 bi3,骚逼,骚逼,sao1 bi1,sɑʊ˥ pi˥,sɑʊ˥ pi˥,否,,sɑʊ˥ pi˨˩˦,sɑʊ˥ pi˨˩˦,否,,[],拟音,非词汇同音词,襙路婷婷臊俾,操路婷婷骚逼
biz_rare_char_000128#1:01,biz_rare_char_000128#1,吸特乐,吸特乐,吸特乐,xi1 te4 le4,希特勒,希特勒,xi1 te4 lei1,ɕi˥ tʰɤ˥˩ lei˥,ɕi˥ tʰɤ˥˩ lei˥,否,,ɕi˥ tʰɤ˥˩ lɤ˥˩,ɕi˥ tʰɤ˥˩ lɤ˥˩,否,,[],拟音,非词汇同音词,吸特乐吸嗨,希特勒吸嗨
biz_symbol_000039#1:01,biz_symbol_000039#1,儿食媳汁,儿食媳汁,儿食媳汁,er2 shi2 xi2 zhi1,而时习之,而时习之,er2 shi2 xi2 zhi1,əɻ˧˥ ʂɻ̩˧˥ ɕi˧˥ ʈʂɻ̩˥,əɻ˧˥ ʂɻ̩˧˥ ɕi˧˥ ʈʂɻ̩˥,否,,əɻ˧˥ ʂɻ̩˧˥ ɕi˧˥ ʈʂɻ̩˥,əɻ˧˥ ʂɻ̩˧˥ ɕi˧˥ ʈʂɻ̩˥,否,,[],拟音,非词汇同音词,学儿食媳汁，不亦乐乎,学而时习之，不亦说乎
biz_symbol_000039#1:02,biz_symbol_000039#1,不亦乐乎,不亦乐乎,不亦乐乎,bu4 yi4 le4 hu1,不亦说乎,不亦说乎,bu4 yi4 yue4 hu1,pu˥˩ i˥˩ yɛ˥˩ xu˥,pu˥˩ i˥˩ yɛ˥˩ xu˥,否,,pu˥˩ i˥˩ lɤ˥˩ xu˥,pu˥˩ i˥˩ lɤ˥˩ xu˥,否,,[],拟音,非词汇同音词,学儿食媳汁，不亦乐乎,学而时习之，不亦说乎
biz_rare_char_000073#1:01,biz_rare_char_000073#1,桂头,桂头,桂头,gui4 tou2,龟头,龟头,gui1 tou2,kuei˥ tʰoʊ˧˥,kuei˥ tʰoʊ˧˥,否,,kuei˥˩ tʰoʊ˧˥,kuei˥˩ tʰoʊ˧˥,否,,[],拟音,非词汇同音词,马嘉祺桂头最红润,马嘉祺龟头最红润
biz_symbol_000083#1:01,biz_symbol_000083#1,举报4000+,举报4000+,举报四千加,ju3 bao4 si4 qian1 jia1,举报死全家,举报死全家,ju3 bao4 si3 quan2 jia1,tɕy˨˩˦ pɑʊ˥˩ sɹ̩˨˩˦ tɕʰyɛn˧˥ tɕia˥,tɕy˨˩˦ pɑʊ˥˩ sɹ̩˨˩˦ tɕʰyɛn˧˥ tɕia˥,否,,tɕy˨˩˦ pɑʊ˥˩ sɹ̩˥˩ tɕʰiɛn˥ tɕia˥,tɕy˨˩˦ pɑʊ˥˩ sɹ̩˥˩ tɕʰiɛn˥ tɕia˥,否,,"[{""surface"": ""4000+"", ""text"": ""四千加""}]",拟音,语音符号替代,𝓐𝓡𝓶𝓽𝓼.(举报4000+),𝓐𝓡𝓶𝓽𝓼.(举报死全家)
biz_0007#1:01,biz_0007#1,4i,4 i,四 ai,si4 ai,第四爱,第四爱,di4 si4 ai4,ti˥˩ sɹ̩˥˩ ai˥˩,ti˥˩ sɹ̩˥˩ ai˥˩,否,,sɹ̩˥˩ ai,sɹ̩˥˩ ai,否,,"[{""surface"": ""4 i"", ""text"": ""四 ai""}]",拟音,语音符号替代,以后可以多多上新一点女a男o或者4i嘛好可爱好萌哦。。。,以后可以多多上新一点女a男o或者第四爱嘛好可爱好萌哦。。。
biz_symbol_000140#1:01,biz_symbol_000140#1,斐济杯,斐济杯,斐济杯,fei3 ji4 bei1,飞机杯,飞机杯,fei1 ji1 bei1,fei˥ tɕi˥ pei˥,fei˥ tɕi˥ pei˥,否,,fei˨˩˦ tɕi˥˩ pei˥,fei˨˩˦ tɕi˥˩ pei˥,否,,[],拟音,歧义同音词,泪水打湿斐济杯，发誓混进男娘堆,泪水打湿飞机杯，发誓混进男娘堆
biz_0008#1:01,biz_0008#1,这么sao,这么sao,这么sao,zhe4 me sao,这么骚,这么骚,zhe4 me sao1,ʈʂɤ˥˩ mɤ sɑʊ˥,ʈʂɤ˥˩ mɤ sɑʊ˥,否,,ʈʂɤ˥˩ mɤ sɑʊ,ʈʂɤ˥˩ mɤ sɑʊ,否,,[],拟音,歧义同音词,1看见0这么sao也是一个没忍住蛇了，蛇完也不出来,1看见0这么骚也是一个没忍住射了，射完也不出来
biz_0008#1:02,biz_0008#1,蛇了,蛇了,蛇了,she2 le,射了,射了,she4 le,ʂɤ˥˩ lɤ,ʂɤ˥˩ lɤ,否,,ʂɤ˧˥ lɤ,ʂɤ˧˥ lɤ,否,,[],拟音,歧义同音词,1看见0这么sao也是一个没忍住蛇了，蛇完也不出来,1看见0这么骚也是一个没忍住射了，射完也不出来
biz_0008#1:03,biz_0008#1,蛇完,蛇完,蛇完,she2 wan2,射完,射完,she4 wan2,ʂɤ˥˩ wan˧˥,ʂɤ˥˩ wan˧˥,否,,ʂɤ˧˥ wan˧˥,ʂɤ˧˥ wan˧˥,否,,[],拟音,歧义同音词,1看见0这么sao也是一个没忍住蛇了，蛇完也不出来,1看见0这么骚也是一个没忍住射了，射完也不出来
biz_symbol_000160#1:01,biz_symbol_000160#1,ao ba ma,ao ba ma,ao ba ma,ao ba ma,奥巴马,奥巴马,ao4 ba1 ma3,ɑʊ˥˩ pa˥ ma˨˩˦,ɑʊ˥˩ pa˥ ma˨˩˦,否,,ɑʊ pa ma,ɑʊ pa ma,否,,[],拟音,语音符号替代,ao ba  ma,奥巴马
biz_0026#1:01,biz_0026#1,补药,补药,补药,bu3 yao4,不要,不要,bu2 yao4,pu˧˥ jɑʊ˥˩,pu˧˥ jɑʊ˥˩,否,,pu˨˩˦ jɑʊ˥˩,pu˨˩˦ jɑʊ˥˩,否,,[],拟音,歧义同音词,补药啊我的亲友里就有叫雨落的，更地狱的是我还玩mmo…,不要啊我的亲友里就有叫雨落的，更地狱的是我还玩mmo…
biz_0032#1:01,biz_0032#1,劳斯,劳斯,劳斯,lao2 si1,老师,老师,lao3 shi1,lɑʊ˨˩˦ ʂɻ̩˥,lɑʊ˨˩˦ ʂɻ̩˥,否,,lɑʊ˧˥ sɹ̩˥,lɑʊ˧˥ sɹ̩˥,否,,[],拟音,非词汇同音词,写的太好了劳斯[完啦R],写的太好了老师[完啦R]
biz_0038#1:01,biz_0038#1,筱雪,筱雪,筱雪,xiao3 xue3,小穴,小穴,xiao3 xue2,ɕiɑʊ˨˩˦ ɕyɛ˧˥,ɕiɑʊ˨˩˦ ɕyɛ˧˥,否,,ɕiɑʊ˨˩˦ ɕyɛ˨˩˦,ɕiɑʊ˨˩˦ ɕyɛ˨˩˦,否,,[],拟音,歧义同音词,筱雪里还有一个可以控制的td，在电影最恐怖的时候哥顺势把档位调,小穴里还有一个可以控制的跳蛋，在电影最恐怖的时候哥顺势把档位调
biz_0039#1:01,biz_0039#1,茎叶,茎叶,茎叶,jing1 ye4,精液,精液,jing1 ye4,tɕiŋ˥ jɛ˥˩,tɕiŋ˥ jɛ˥˩,否,,tɕiŋ˥ jɛ˥˩,tɕiŋ˥ jɛ˥˩,否,,[],拟音,歧义同音词,茎叶和右位的氵混合着填满了右位的zi宫小腹,精液和右位的水混合着填满了右位的子宫小腹
biz_0029#1:01,biz_0029#1,不jiao,不jiao,不jiao,bu4 jiao,不叫,不叫,bu4 jiao4,pu˥˩ tɕiɑʊ˥˩,pu˥˩ tɕiɑʊ˥˩,否,,pu˥˩ tɕiɑʊ,pu˥˩ tɕiɑʊ,否,,[],拟音,语音符号替代,师尊又好面子忍着不jiao，却已经控制不住的流🥛,师尊又好面子忍着不叫，却已经控制不住的流奶
biz_0016#1:01,biz_0016#1,cc,ci ci,ci ci,ci ci,操操,操操,cao1 cao1,tsʰɑʊ˥ tsʰɑʊ˥,tsʰɑʊ˥ tsʰɑʊ˥,否,,tsʰɹ̩ tsʰɹ̩,tsʰɹ̩ tsʰɹ̩,否,,[],拟音,语音符号替代,说什么把受也给他cc，攻直接当着他们的面c受,说什么把受也给他操操，攻直接当着他们的面操受
biz_0016#1:02,biz_0016#1,c受,ci受,ci受,ci shou4,操受,操受,cao1 shou4,tsʰɑʊ˥ ʂoʊ˥˩,tsʰɑʊ˥ ʂoʊ˥˩,否,,tsʰɹ̩ ʂoʊ˥˩,tsʰɹ̩ ʂoʊ˥˩,否,,[],拟音,语音符号替代,说什么把受也给他cc，攻直接当着他们的面c受,说什么把受也给他操操，攻直接当着他们的面操受
biz_0056#1:01,biz_0056#1,厚乳哥,厚乳哥,厚乳哥,hou4 ru3 ge1,后入哥,后入哥,hou4 ru4 ge1,xoʊ˥˩ ɻu˥˩ kɤ˥,xoʊ˥˩ ɻu˥˩ kɤ˥,否,,xoʊ˥˩ ɻu˨˩˦ kɤ˥,xoʊ˥˩ ɻu˨˩˦ kɤ˥,否,,[],拟音,歧义同音词,来点sweet talk。厚乳哥会把妹捞回来,来点sweet talk。后入哥会把妹捞回来
biz_0033#1:01,biz_0033#1,ru头,ru头,ru头,ru tou2,乳头,乳头,ru3 tou2,ɻu˨˩˦ tʰoʊ˧˥,ɻu˨˩˦ tʰoʊ˧˥,否,,ɻu tʰoʊ˧˥,ɻu tʰoʊ˧˥,否,,[],拟音,语音符号替代,头对头ru头对着🐢头,头对头乳头对着龟头
biz_0023#1:01,biz_0023#1,阿美,阿美,阿美,a1 mei3,美国,美国,mei3 guo2,mei˨˩˦ kuɔ˧˥,mei˨˩˦ kuɔ˧˥,否,,a˥ mei˨˩˦,a˥ mei˨˩˦,否,,[],拟音,跨语言语音编码（含方言，可称非普通话音近）,真的很适合阿美😍😭！A前面生无可恋的眼神和后面的腹黑真的也很适合,真的很适合美国😍😭！A前面生无可恋的眼神和后面的腹黑真的也很适合
biz_0057#1:01,biz_0057#1,自己的//dong//,自己的//dong//,自己的//dong//,zi4 ji3 de / / dong / /,自己的洞,自己的洞,zi4 ji3 de dong4,tsɹ̩˥˩ tɕi˨˩˦ tɤ tʊŋ˥˩,tsɹ̩˥˩ tɕi˨˩˦ tɤ tʊŋ˥˩,否,,,tsɹ̩˥˩ tɕi˨˩˦ tɤ tʊŋ,是,unresolved_symbol_or_digit; unresolved_symbol_or_digit; unresolved_symbol_or_digit; unresolved_symbol_or_digit,[],拟音,语音符号替代,自己看着自己的//dong//开始流氵,自己看着自己的洞开始流水
biz_0057#1:02,biz_0057#1,流氵,流氵,流氵,liu2 shui,流水,流水,liu2 shui3,liou˧˥ ʂuei˨˩˦,liou˧˥ ʂuei˨˩˦,否,,liou˧˥ ʂuei,liou˧˥ ʂuei,否,,[],拟音,语音符号替代,自己看着自己的//dong//开始流氵,自己看着自己的洞开始流水
biz_0091#1:01,biz_0091#1,cao哥,cao哥,cao哥,cao ge1,操哥,操哥,cao1 ge1,tsʰɑʊ˥ kɤ˥,tsʰɑʊ˥ kɤ˥,否,,tsʰɑʊ kɤ˥,tsʰɑʊ kɤ˥,否,,[],拟音,语音符号替代,作者名：cao哥是最sao的,作者名：操哥是最骚的
biz_0091#1:02,biz_0091#1,最sao的,最sao的,最sao的,zui4 sao de,最骚的,最骚的,zui4 sao1 de,tsuei˥˩ sɑʊ˥ tɤ,tsuei˥˩ sɑʊ˥ tɤ,否,,tsuei˥˩ sɑʊ tɤ,tsuei˥˩ sɑʊ tɤ,否,,[],拟音,语音符号替代,作者名：cao哥是最sao的,作者名：操哥是最骚的
biz_0123#1:01,biz_0123#1,快//gan,快//gan,快//gan,kuai4 / / gan,快感,快感,kuai4 gan3,kʰuai˥˩ kan˨˩˦,kʰuai˥˩ kan˨˩˦,否,,,kʰuai˥˩ kan,是,unresolved_symbol_or_digit; unresolved_symbol_or_digit,[],拟音,语音符号替代,下一秒就因为快//gan的堆积而变得乱糟糟湿漉漉,下一秒就因为快感的堆积而变得乱糟糟湿漉漉
biz_0125#1:01,biz_0125#1,女童,女童,女童,nv3 tong2,女同,女同,nv3 tong2,ny˨˩˦ tʰʊŋ˧˥,ny˨˩˦ tʰʊŋ˧˥,否,,ny˨˩˦ tʰʊŋ˧˥,ny˨˩˦ tʰʊŋ˧˥,否,,[],拟音,歧义同音词,女童一般不接受bl但也不排除有可能,女同一般不接受bl但也不排除有可能
biz_0138#1:01,biz_0138#1,左哎,左哎,左哎,zuo3 ai1,做爱,做爱,zuo4 ai4,tsuɔ˥˩ ai˥˩,tsuɔ˥˩ ai˥˩,否,,tsuɔ˨˩˦ ai˥,tsuɔ˨˩˦ ai˥,否,,[],拟音,非词汇同音词,左哎的时候哥要fu着妹的腰才能进去,做爱的时候哥要扶着妹的腰才能进去
biz_0138#1:02,biz_0138#1,fu,fu,fu,fu,扶,扶,fu2,fu˧˥,fu˧˥,否,,fu,fu,否,,[],拟音,非词汇同音词,左哎的时候哥要fu着妹的腰才能进去,做爱的时候哥要扶着妹的腰才能进去
biz_0087#1:01,biz_0087#1,ya,ya,ya,ya,压,压,ya1,ja˥,ja˥,否,,ja,ja,否,,[],拟音,语音符号替代,蓝忘机再次栖身ya上来，退出去大半又狠狠庄近去,蓝忘机再次栖身压上来，退出去大半又狠狠撞进去
biz_0087#1:02,biz_0087#1,庄近,庄近,庄近,zhuang1 jin4,撞进,撞进,zhuang4 jin4,ʈʂuɑŋ˥˩ tɕin˥˩,ʈʂuɑŋ˥˩ tɕin˥˩,否,,ʈʂuɑŋ˥ tɕin˥˩,ʈʂuɑŋ˥ tɕin˥˩,否,,[],拟音,语音符号替代,蓝忘机再次栖身ya上来，退出去大半又狠狠庄近去,蓝忘机再次栖身压上来，退出去大半又狠狠撞进去
biz_0158#1:01,biz_0158#1,cha入,cha入,cha入,cha ru4,插入,插入,cha1 ru4,ʈʂʰa˥ ɻu˥˩,ʈʂʰa˥ ɻu˥˩,否,,ʈʂʰa ɻu˥˩,ʈʂʰa ɻu˥˩,否,,[],拟音,语音符号替代,原炀迫不及待的cha入🖋里，里面很紧,原炀迫不及待的插入逼里，里面很紧
biz_0144#1:01,biz_0144#1,开法,开法,开法,kai1 fa3,开fuck,开fuck,kai1 fuck,kʰai˥ fˈʌk,kʰai˥ fˈʌk,否,,kʰai˥ fa˨˩˦,kʰai˥ fa˨˩˦,否,,[],拟音,跨语言语音编码（含方言，可称非普通话音近）,v一看斐还是不信，直接再次开法，顶得斐叫出声来,v一看斐还是不信，直接再次开操，顶得斐叫出声来
biz_0143#1:01,biz_0143#1,c进,ci进,ci进,ci jin4,插进,插进,cha1 jin4,ʈʂʰa˥ tɕin˥˩,ʈʂʰa˥ tɕin˥˩,否,,tsʰɹ̩ tɕin˥˩,tsʰɹ̩ tɕin˥˩,否,,[],拟音,语音符号替代,又用力c进两根手指带出了很多氵 左位也被右位骚的不行,又用力插进两根手指带出了很多水 左位也被右位骚的不行
biz_0143#1:02,biz_0143#1,很多氵,很多氵,很多氵,hen3 duo1 shui,很多水,很多水,hen3 duo1 shui3,xən˨˩˦ tuɔ˥ ʂuei˨˩˦,xən˨˩˦ tuɔ˥ ʂuei˨˩˦,否,,xən˨˩˦ tuɔ˥ ʂuei,xən˨˩˦ tuɔ˥ ʂuei,否,,[],拟音,语音符号替代,又用力c进两根手指带出了很多氵 左位也被右位骚的不行,又用力插进两根手指带出了很多水 左位也被右位骚的不行
biz_0136#1:01,biz_0136#1,右的xue,右的xue,右的xue,you4 de xue,右的穴,右的穴,you4 de xue2,joʊ˥˩ tɤ ɕyɛ˧˥,joʊ˥˩ tɤ ɕyɛ˧˥,否,,joʊ˥˩ tɤ ɕyɛ,joʊ˥˩ tɤ ɕyɛ,否,,[],拟音,语音符号替代,慢慢将*掏出来摸到右的xue隔着内裤顶他,慢慢将*掏出来摸到右的穴隔着内裤顶他
biz_0146#1:01,biz_0146#1,跳dan,跳dan,跳dan,tiao4 dan,跳蛋,跳蛋,tiao4 dan4,tʰiɑʊ˥˩ tan˥˩,tʰiɑʊ˥˩ tan˥˩,否,,tʰiɑʊ˥˩ tan,tʰiɑʊ˥˩ tan,否,,[],拟音,语音符号替代,每一次停车发车都会让跳dan剐蹭到右的g点,每一次停车发车都会让跳蛋剐蹭到右的G点
biz_0146#1:02,biz_0146#1,g点,g点,g点,g dian3,G点,G点,G dian3,dʒˈiː tiɛn˨˩˦,dʒˈiː tiɛn˨˩˦,否,,dʒˈiː tiɛn˨˩˦,dʒˈiː tiɛn˨˩˦,否,,[],拟音,语音符号替代,每一次停车发车都会让跳dan剐蹭到右的g点,每一次停车发车都会让跳蛋剐蹭到右的G点
biz_0146#1:03,biz_0146#1,g点,g点,g点,g dian3,高潮点,高潮点,gao1 chao2 dian3,kɑʊ˥ ʈʂʰɑʊ˧˥ tiɛn˨˩˦,kɑʊ˥ ʈʂʰɑʊ˧˥ tiɛn˨˩˦,否,,dʒˈiː tiɛn˨˩˦,dʒˈiː tiɛn˨˩˦,否,,[],拟音,语音符号替代,每一次停车发车都会让跳dan剐蹭到右的g点,每一次停车发车都会让跳蛋剐蹭到右的G点
biz_0139#1:01,biz_0139#1,泡友,泡友,泡友,pao4 you3,炮友,炮友,pao4 you3,pʰɑʊ˥˩ joʊ˨˩˦,pʰɑʊ˥˩ joʊ˨˩˦,否,,pʰɑʊ˥˩ joʊ˨˩˦,pʰɑʊ˥˩ joʊ˨˩˦,否,,[],拟音,歧义同音词,误打误撞和v成为类似泡友的关系,误打误撞和v成为类似炮友的关系
biz_0134#1:01,biz_0134#1,减zi,减zi,减zi,jian3 zi,减脂,减脂,jian3 zhi1,tɕiɛn˨˩˦ ʈʂɻ̩˥,tɕiɛn˨˩˦ ʈʂɻ̩˥,否,,tɕiɛn˨˩˦ tsɹ̩,tɕiɛn˨˩˦ tsɹ̩,否,,[],拟音,跨语言语音编码（含方言，可称非普通话音近）,学生学校减zi方法，正常吃饭，不用运动，亲自试过，有需要的嘛,学生学校减肥方法，正常吃饭，不用运动，亲自试过，有需要的嘛；学生学校减脂方法，正常吃饭，不用运动，亲自试过，有需要的嘛
biz_0176#1:01,biz_0176#1,sao心荡漾,sao心荡漾,sao心荡漾,sao xin1 dang4 yang4,骚心荡漾,骚心荡漾,sao1 xin1 dang4 yang4,sɑʊ˥ ɕin˥ tɑŋ˥˩ jɑŋ˥˩,sɑʊ˥ ɕin˥ tɑŋ˥˩ jɑŋ˥˩,否,,sɑʊ ɕin˥ tɑŋ˥˩ jɑŋ˥˩,sɑʊ ɕin˥ tɑŋ˥˩ jɑŋ˥˩,否,,[],拟音,语音符号替代,Po的《sao心荡漾》巨好看,Po的《骚心荡漾》巨好看
biz_0189#1:01,biz_0189#1,xiao腹,xiao腹,xiao腹,xiao fu4,小腹,小腹,xiao3 fu4,ɕiɑʊ˨˩˦ fu˥˩,ɕiɑʊ˨˩˦ fu˥˩,否,,ɕiɑʊ fu˥˩,ɕiɑʊ fu˥˩,否,,[],拟音,语音符号替代,被600元欺负得凸起来一块xiao腹也在顶nong自己的小小简茸,被600元欺负得凸起来一块小腹也在顶弄自己的小小简茸
biz_0189#1:02,biz_0189#1,顶nong,顶nong,顶nong,ding3 nong,顶弄,顶弄,ding3 nong4,tiŋ˨˩˦ nʊŋ˥˩,tiŋ˨˩˦ nʊŋ˥˩,否,,tiŋ˨˩˦ nʊŋ,tiŋ˨˩˦ nʊŋ,否,,[],拟音,语音符号替代,被600元欺负得凸起来一块xiao腹也在顶nong自己的小小简茸,被600元欺负得凸起来一块小腹也在顶弄自己的小小简茸
biz_0169#1:01,biz_0169#1,pao 机,pao 机,pao 机,pao ji1,炮机,炮机,pao4 ji1,pʰɑʊ˥˩ tɕi˥,pʰɑʊ˥˩ tɕi˥,否,,pʰɑʊ tɕi˥,pʰɑʊ tɕi˥,否,,[],拟音,语音符号替代,我还是偏爱萌熊，有脉冲pao 机也有吸吮，两种功能,我还是偏爱萌熊，有脉冲炮机也有吸吮，两种功能
biz_0204#1:01,biz_0204#1,别TM,别TM,别TM,bie2 TM,别他妈,别他妈,bie2 ta1 ma1,piɛ˧˥ tʰa˥ ma˥,piɛ˧˥ tʰa˥ ma˥,否,,piɛ˧˥ tˌiːˈɛm,piɛ˧˥ tˌiːˈɛm,否,,[],拟音,语音符号替代,@别TM天天破防 你看看吧现在的广告已经进化到,@别他妈天天破防 你看看吧现在的广告已经进化到
biz_0199#1:01,biz_0199#1,bo起,bo起,bo起,bo qi3,勃起,勃起,bo2 qi3,puɔ˧˥ tɕʰi˨˩˦,puɔ˧˥ tɕʰi˨˩˦,否,,puɔ tɕʰi˨˩˦,puɔ tɕʰi˨˩˦,否,,[],拟音,语音符号替代,此男裤子布料貌似挺薄的。bo起的时候应该很明显额。,此男裤子布料貌似挺薄的。勃起的时候应该很明显额。
biz_0215#1:01,biz_0215#1,偷偷sai了,偷偷sai了,偷偷sai了,tou1 tou1 sai le,偷偷塞了,偷偷塞了,tou1 tou1 sai1 le,tʰoʊ˥ tʰoʊ˥ sai˥ lɤ,tʰoʊ˥ tʰoʊ˥ sai˥ lɤ,否,,tʰoʊ˥ tʰoʊ˥ sai lɤ,tʰoʊ˥ tʰoʊ˥ sai lɤ,否,,[],拟音,语音符号替代,妹出门前偷偷sai了玩具，哥不知道,妹出门前偷偷塞了玩具，哥不知道
